ticker,VZ US Equity,VZ US Equity,VZ US Equity,VZ US Equity,VZ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,53.7247,54.3409,55.0171,55.0244,56.9626,DOWN,0
2000-01-04,51.988,53.5006,55.0395,54.2737,56.8729,UP,1
2000-01-05,53.7247,52.8843,55.0796,53.9488,56.8214,DOWN,0
2000-01-06,53.1084,53.5006,55.1101,53.5454,56.771,DOWN,0
2000-01-07,52.7163,52.7723,55.1395,53.0524,56.6982,DOWN,0
2000-01-10,52.4362,52.7163,55.1712,52.7947,56.5884,DOWN,0
2000-01-11,51.9425,51.7639,55.1962,52.7856,56.4631,DOWN,0
2000-01-12,50.1953,50.5314,55.2113,52.0797,56.3118,DOWN,0
2000-01-13,49.8032,51.0917,55.2287,51.4187,56.1785,UP,1
2000-01-14,50.4754,50.1393,55.2491,50.9705,56.0496,UP,1
2000-01-18,52.6603,51.0917,55.2799,51.0153,55.9802,DOWN,0
2000-01-19,51.6519,51.5398,55.3023,50.9572,55.8961,UP,1
2000-01-20,52.8843,52.044,55.3259,51.495,55.7987,UP,1
2000-01-21,53.8367,53.6686,55.3477,52.3017,55.7482,UP,1
2000-01-24,53.8927,54.0608,55.3668,52.9852,55.6855,DOWN,0
2000-01-25,52.4362,53.8367,55.3774,52.9404,55.5959,DOWN,0
2000-01-26,51.7639,52.6603,55.3886,52.9628,55.504,UP,1
2000-01-27,52.2121,51.988,55.4018,52.8283,55.4121,DOWN,0
2000-01-28,51.6519,51.932,55.4043,52.3914,55.29,UP,1
2000-01-31,55.5174,51.5959,55.4214,52.7163,55.2317,DOWN,0
2000-02-01,53.3885,54.453,55.4276,52.9068,55.1522,DOWN,0
2000-02-02,53.1645,53.8367,55.4385,53.1869,55.0536,DOWN,0
2000-02-03,52.3802,53.5566,55.4382,53.2205,54.9614,UP,1
2000-02-04,52.4922,52.6603,55.4413,53.3885,54.902,UP,1
2000-02-07,53.5566,52.4922,55.443,52.9964,54.8595,DOWN,0
