ticker,WAB US Equity,WAB US Equity,WAB US Equity,WAB US Equity,WAB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,8.5938,8.7813,10.2503,8.5125,8.6788,DOWN,0
2000-01-04,8.4688,8.5,10.2423,8.525,8.6788,DOWN,0
2000-01-05,8.4375,8.375,10.2342,8.5438,8.6763,DOWN,0
2000-01-06,8.0938,8.4063,10.2243,8.4938,8.6725,DOWN,0
2000-01-07,7.7813,8.0938,10.2122,8.275,8.6606,UP,1
2000-01-10,7.875,7.9375,10.1998,8.1313,8.6506,DOWN,0
2000-01-11,7.6563,7.8125,10.1847,7.9688,8.62,DOWN,0
2000-01-12,7.25,7.6563,10.1692,7.7313,8.5788,UP,1
2000-01-13,7.3125,7.3125,10.1536,7.575,8.5413,DOWN,0
2000-01-14,6.9063,7.4375,10.1362,7.4,8.4975,DOWN,0
2000-01-18,6.875,6.8438,10.1193,7.2,8.465,UP,1
2000-01-19,7.0,6.875,10.1036,7.0688,8.4375,DOWN,0
2000-01-20,7.0,7.0313,10.0867,7.0188,8.4056,DOWN,0
2000-01-21,6.9063,6.9063,10.069,6.9375,8.3719,DOWN,0
2000-01-24,6.7813,6.9375,10.0495,6.9125,8.3331,DOWN,0
2000-01-25,6.2188,6.6875,10.025,6.7813,8.285,DOWN,0
2000-01-26,5.875,6.1875,10.0006,6.5563,8.2319,DOWN,0
2000-01-27,5.7813,5.875,9.9761,6.3125,8.1738,DOWN,0
2000-01-28,5.6563,5.7813,9.9497,6.0625,8.1138,DOWN,0
2000-01-31,5.5625,5.5938,9.9211,5.8188,8.0525,DOWN,0
2000-02-01,5.5625,5.625,9.8922,5.6875,7.9894,UP,1
2000-02-02,5.7188,5.6563,9.8645,5.6563,7.9269,UP,1
2000-02-03,5.75,5.7188,9.8403,5.65,7.8663,UP,1
2000-02-04,5.7813,5.7813,9.8159,5.675,7.8106,UP,1
2000-02-07,5.875,5.8125,9.7906,5.7375,7.7538,DOWN,0
