ticker,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,25.75,26.625,27.2359,25.75,24.3906,DOWN,0
2000-01-04,24.5,25.75,27.2341,25.6125,24.2325,UP,1
2000-01-05,26.031,25.25,27.2405,25.6688,24.1219,DOWN,0
2000-01-06,25.25,25.875,27.2428,25.6063,24.0531,UP,1
2000-01-07,26.031,25.125,27.2481,25.5125,24.0363,DOWN,0
2000-01-10,25.156,26.063,27.247,25.3938,24.0144,DOWN,0
2000-01-11,24.656,25.094,27.2377,25.425,23.9763,DOWN,0
2000-01-12,24.531,24.75,27.227,25.125,23.9613,UP,1
2000-01-13,24.563,24.563,27.2184,24.9875,23.9844,DOWN,0
2000-01-14,24.25,24.625,27.2058,24.6313,24.0044,DOWN,0
2000-01-18,23.813,24.125,27.1898,24.3625,24.0138,DOWN,0
2000-01-19,23.156,23.938,27.17,24.0625,24.025,DOWN,0
2000-01-20,22.0,22.656,27.1454,23.5563,24.0106,UP,1
2000-01-21,24.0,22.188,27.1305,23.4438,24.0106,UP,1
2000-01-24,25.094,24.75,27.1191,23.6125,24.0244,UP,1
2000-01-25,34.531,31.5,27.1545,25.7563,24.23,DOWN,0
2000-01-26,34.25,34.25,27.1905,27.975,24.4494,DOWN,0
2000-01-27,32.875,33.75,27.2183,30.15,24.6375,UP,1
2000-01-28,33.375,32.875,27.2514,32.025,24.8556,UP,1
2000-01-31,36.938,33.375,27.3016,34.3938,25.1406,UP,1
2000-02-01,37.469,36.938,27.3595,34.9813,25.4013,UP,1
2000-02-02,37.5,37.375,27.4202,35.6313,25.6544,DOWN,0
2000-02-03,37.5,37.375,27.474,36.5563,25.9194,UP,1
2000-02-04,42.875,39.0,27.5555,38.4563,26.2919,DOWN,0
2000-02-07,42.219,42.906,27.6307,39.5125,26.6413,DOWN,0
2000-02-08,40.938,42.5,27.696,40.2063,26.9625,DOWN,0
