ticker,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,WDC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,3.9375,4.25,5.5788,3.8375,3.6175,UP,1
2000-01-04,4.6875,3.9375,5.5591,4.0625,3.6425,DOWN,0
2000-01-05,4.375,4.75,5.5375,4.2,3.6688,UP,1
2000-01-06,4.5625,4.5,5.5175,4.35,3.6988,UP,1
2000-01-07,5.625,4.625,5.5028,4.6375,3.7463,DOWN,0
2000-01-10,5.0,5.5,5.485,4.85,3.7825,DOWN,0
2000-01-11,5.0,4.875,5.4681,4.9125,3.8175,DOWN,0
2000-01-12,4.5625,4.9375,5.4509,4.95,3.8463,DOWN,0
2000-01-13,4.3125,4.75,5.4331,4.9,3.87,UP,1
2000-01-14,4.5,4.375,5.4156,4.675,3.9013,UP,1
2000-01-18,5.125,4.875,5.4025,4.7,3.9475,UP,1
2000-01-19,6.6875,5.0625,5.3978,5.0375,4.025,DOWN,0
2000-01-20,5.5625,6.375,5.3884,5.2375,4.0775,DOWN,0
2000-01-21,5.125,5.5,5.3772,5.4,4.115,DOWN,0
2000-01-24,4.75,5.3125,5.3647,5.45,4.125,UP,1
2000-01-25,5.5,4.875,5.3556,5.525,4.1575,UP,1
2000-01-26,5.75,5.25,5.3494,5.3375,4.1975,DOWN,0
2000-01-27,4.625,5.125,5.3378,5.15,4.215,UP,1
2000-01-28,5.0,4.75,5.3272,5.125,4.2413,DOWN,0
2000-01-31,4.75,4.9375,5.3156,5.125,4.2575,DOWN,0
2000-02-01,4.6875,4.75,5.3044,4.9625,4.2725,UP,1
2000-02-02,4.75,4.625,5.2931,4.7625,4.29,UP,1
2000-02-03,5.0625,4.6875,5.2853,4.85,4.3138,DOWN,0
2000-02-04,5.0625,5.1875,5.2734,4.8625,4.3412,UP,1
2000-02-07,5.25,5.0625,5.2616,4.9625,4.3725,DOWN,0
2000-02-08,5.125,5.25,5.2506,5.05,4.4013,DOWN,0
