ticker,WFC US Equity,WFC US Equity,WFC US Equity,WFC US Equity,WFC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,19.5625,20.1563,20.8801,20.1938,22.35,DOWN,0
2000-01-04,18.5938,18.625,20.8757,19.7938,22.2743,DOWN,0
2000-01-05,18.4063,18.5,20.874,19.4188,22.1993,UP,1
2000-01-06,19.2188,18.5313,20.8771,19.2,22.1368,UP,1
2000-01-07,19.5625,19.625,20.8818,19.0688,22.0631,DOWN,0
2000-01-10,18.9375,19.1875,20.8854,18.9438,21.9512,DOWN,0
2000-01-11,18.625,18.9063,20.8846,18.95,21.845,UP,1
2000-01-12,19.1563,18.6563,20.8901,19.1,21.7593,UP,1
2000-01-13,20.2188,19.9375,20.9035,19.3,21.69,UP,1
2000-01-14,20.8438,21.875,20.916,19.5563,21.6456,DOWN,0
2000-01-18,19.4375,19.875,20.9198,19.6563,21.5643,DOWN,0
2000-01-19,18.375,19.1875,20.9169,19.6063,21.4637,DOWN,0
2000-01-20,18.1875,18.4063,20.9105,19.4125,21.3562,UP,1
2000-01-21,18.3125,18.25,20.9033,19.0313,21.2681,DOWN,0
2000-01-24,17.9375,18.5,20.8937,18.45,21.1775,UP,1
2000-01-25,18.8125,17.9063,20.888,18.325,21.0993,UP,1
2000-01-26,19.0,18.7188,20.8846,18.45,21.0018,UP,1
2000-01-27,19.5,19.3125,20.8837,18.7125,20.9193,DOWN,0
2000-01-28,19.375,19.4375,20.8801,18.925,20.8256,UP,1
2000-01-31,20.0,19.1563,20.879,19.3375,20.7543,UP,1
2000-02-01,20.2188,20.0,20.8773,19.6188,20.6793,DOWN,0
2000-02-02,19.5,20.2188,20.8688,19.7188,20.5943,DOWN,0
2000-02-03,19.4375,19.6563,20.8599,19.7063,20.515,DOWN,0
2000-02-04,19.2813,19.5625,20.8496,19.6875,20.4387,DOWN,0
2000-02-07,19.0938,19.125,20.8382,19.5063,20.3605,UP,1
