ticker,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity,WHR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,61.813,64.313,65.8894,63.675,64.4738,DOWN,0
2000-01-04,59.438,61.563,65.9466,63.0,64.3751,UP,1
2000-01-05,60.313,59.438,65.9985,62.3125,64.2726,UP,1
2000-01-06,60.813,60.188,66.0516,61.4875,64.1801,UP,1
2000-01-07,61.0,60.938,66.0997,60.675,64.1051,UP,1
2000-01-10,61.75,61.25,66.1431,60.6625,64.0113,UP,1
2000-01-11,64.0,62.0,66.196,61.575,63.8976,DOWN,0
2000-01-12,61.75,63.75,66.246,61.8625,63.7113,DOWN,0
2000-01-13,61.438,62.0,66.2813,61.9875,63.5088,DOWN,0
2000-01-14,61.188,61.5,66.3219,62.025,63.3713,DOWN,0
2000-01-18,59.313,60.0,66.3591,61.5375,63.1876,UP,1
2000-01-19,59.625,61.5,66.3872,60.6625,62.9801,DOWN,0
2000-01-20,59.5,59.875,66.4197,60.2125,62.7913,DOWN,0
2000-01-21,57.5,56.0,66.4397,59.425,62.5338,UP,1
2000-01-24,57.938,57.75,66.4653,58.775,62.3188,DOWN,0
2000-01-25,53.625,57.938,66.475,57.6375,62.0326,UP,1
2000-01-26,59.875,55.063,66.5206,57.6875,61.8726,DOWN,0
2000-01-27,56.688,59.625,66.5466,57.125,61.6676,UP,1
2000-01-28,56.75,55.375,66.5572,56.975,61.4551,UP,1
2000-01-31,58.25,56.5,66.5494,57.0375,61.3113,UP,1
2000-02-01,59.688,58.25,66.5263,58.25,61.1688,DOWN,0
2000-02-02,57.625,59.438,66.4975,57.8,61.0213,DOWN,0
2000-02-03,57.563,57.563,66.4506,57.975,60.8851,DOWN,0
2000-02-04,56.375,57.813,66.4041,57.9,60.7412,DOWN,0
2000-02-07,55.563,56.375,66.3544,57.3625,60.6,DOWN,0
2000-02-08,54.375,55.813,66.2922,56.3,60.4212,UP,1
