ticker,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,WRB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,1.7833,1.8875,2.109,1.7888,1.9105,DOWN,0
2000-01-04,1.7284,1.8546,2.1069,1.7833,1.9073,DOWN,0
2000-01-05,1.701,1.7119,2.1046,1.7679,1.9019,UP,1
2000-01-06,1.7997,1.7339,2.1026,1.769,1.8988,DOWN,0
2000-01-07,1.7723,1.7339,2.1008,1.7569,1.8951,DOWN,0
2000-01-10,1.7558,1.7558,2.0991,1.7514,1.8902,DOWN,0
2000-01-11,1.7284,1.7503,2.0969,1.7514,1.8845,DOWN,0
2000-01-12,1.7229,1.7668,2.0947,1.7558,1.8792,DOWN,0
2000-01-13,1.7119,1.6845,2.0925,1.7383,1.8725,DOWN,0
2000-01-14,1.679,1.701,2.09,1.7196,1.8649,UP,1
2000-01-18,1.7064,1.679,2.0875,1.7097,1.8579,UP,1
2000-01-19,1.7229,1.7339,2.085,1.7086,1.8523,DOWN,0
2000-01-20,1.6296,1.7229,2.0817,1.69,1.8449,DOWN,0
2000-01-21,1.5912,1.6571,2.0783,1.6658,1.8381,UP,1
2000-01-24,1.6241,1.6132,2.075,1.6549,1.8308,DOWN,0
2000-01-25,1.4925,1.6241,2.0715,1.6121,1.8211,UP,1
2000-01-26,1.5748,1.5089,2.0683,1.5824,1.8128,UP,1
2000-01-27,1.6022,1.5693,2.0653,1.577,1.8049,DOWN,0
2000-01-28,1.5418,1.6241,2.062,1.5671,1.7962,DOWN,0
2000-01-31,1.5254,1.5144,2.058,1.5473,1.7876,DOWN,0
2000-02-01,1.5144,1.4705,2.0541,1.5517,1.7788,DOWN,0
2000-02-02,1.5144,1.5034,2.0501,1.5396,1.7703,DOWN,0
2000-02-03,1.5089,1.5364,2.0457,1.521,1.7618,DOWN,0
2000-02-04,1.4925,1.5254,2.0413,1.5111,1.7528,DOWN,0
2000-02-07,1.4705,1.5364,2.0367,1.5001,1.744,DOWN,0
