ticker,WTW US Equity,WTW US Equity,WTW US Equity,WTW US Equity,WTW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-06-11,35.7615,35.7615,,,,UP,1
2001-06-12,43.9734,43.7085,,,,DOWN,0
2001-06-13,43.8409,43.8409,,,,DOWN,0
2001-06-14,42.9138,43.7085,,,,UP,1
2001-06-15,43.576,42.7813,42.0131,,,UP,1
2001-06-18,45.139,45.033,43.8886,,,UP,1
2001-06-19,45.9601,45.033,44.286,,,UP,1
2001-06-20,47.1522,46.0926,44.9482,,,DOWN,0
2001-06-21,47.1522,47.1522,45.7959,,,DOWN,0
2001-06-22,46.3045,47.0992,46.3416,,,UP,1
2001-06-25,46.7548,45.6952,46.6648,,,DOWN,0
2001-06-26,45.033,46.5694,46.4793,,,UP,1
2001-06-27,45.8277,45.033,46.2144,,,UP,1
2001-06-28,46.3575,46.3575,46.0555,,,UP,1
2001-06-29,47.0197,46.3575,46.1986,,,DOWN,0
2001-07-02,46.3575,47.0197,46.1191,,,DOWN,0
2001-07-03,46.0926,46.7548,46.331,,,UP,1
2001-07-05,47.0727,46.3575,46.58,,,DOWN,0
2001-07-06,46.9668,47.0462,46.7019,,,DOWN,0
2001-07-09,45.2979,46.6224,46.3575,,,DOWN,0
2001-07-10,44.7681,45.4303,46.0396,,,UP,1
2001-07-11,45.6952,45.1654,45.9601,,,DOWN,0
2001-07-12,44.6886,45.6952,45.4833,,,UP,1
2001-07-13,45.6952,44.6621,45.229,,,UP,1
2001-07-16,45.9601,45.8277,45.3615,,,DOWN,0
2001-07-17,45.9601,45.9601,45.5999,,,DOWN,0
2001-07-18,45.4303,45.8277,45.5469,,,DOWN,0
2001-07-19,45.033,45.033,45.6158,,,DOWN,0
2001-07-20,44.9005,44.9005,45.4568,,,DOWN,0
2001-07-23,44.9005,44.9005,45.2449,,,DOWN,0
2001-07-24,43.4436,44.9005,44.7416,,,DOWN,0
2001-07-25,43.0462,43.1787,44.2648,,,UP,1
2001-07-26,43.6025,43.0462,43.9787,,,UP,1
2001-07-27,45.5628,43.7085,44.1111,,,DOWN,0
2001-07-30,45.033,45.1654,44.1376,,,UP,1
2001-07-31,45.6952,46.3575,44.588,,,UP,1
2001-08-01,45.7482,45.9601,45.1284,,,DOWN,0
2001-08-02,44.3707,45.7482,45.282,,,UP,1
2001-08-03,46.7548,44.3707,45.5204,,,UP,1
2001-08-06,47.682,47.0197,46.0502,,,DOWN,0
2001-08-07,46.3575,47.4171,46.1827,,,UP,1
2001-08-08,46.4899,46.6224,46.331,,,DOWN,0
2001-08-09,46.1191,46.3575,46.6807,,,UP,1
2001-08-10,46.8873,46.1191,46.7072,,,UP,1
2001-08-13,47.4436,46.6224,46.6595,,,UP,1
2001-08-14,48.0793,47.2846,47.0038,,,UP,1
2001-08-15,48.3442,48.4767,47.3747,,,UP,1
2001-08-16,48.7681,48.3442,47.9045,,,UP,1
2001-08-17,49.2714,48.7416,48.3813,,,UP,1
2001-08-20,51.6555,49.6687,49.2237,45.7588,,DOWN,0
2001-08-21,50.4634,50.9932,49.7005,46.0529,,UP,1
2001-08-22,52.8475,50.8608,50.6012,46.2303,,DOWN,0
2001-08-23,52.1853,52.98,51.2846,46.3972,,DOWN,0
2001-08-24,50.8608,51.523,51.6025,46.5562,,DOWN,0
2001-08-27,50.331,50.9932,51.3376,46.6913,,DOWN,0
2001-08-28,50.331,50.331,51.3111,46.7951,,DOWN,0
2001-08-29,50.331,50.331,50.8078,46.8825,,DOWN,0
2001-08-30,49.7217,50.4634,50.3151,46.9339,,UP,1
2001-08-31,49.8277,49.8012,50.1085,46.9874,,DOWN,0
2001-09-04,49.4038,49.6687,49.923,47.0494,,DOWN,0
2001-09-05,48.6091,49.2714,49.5787,47.0865,,DOWN,0
2001-09-06,47.576,48.3707,49.0277,47.1374,,DOWN,0
2001-09-07,47.0462,47.1522,48.4926,47.1617,,DOWN,0
2001-09-10,46.6224,47.1522,47.8515,47.167,,UP,1
2001-09-17,50.9932,45.9601,48.1694,47.2465,,UP,1
2001-09-18,51.9204,51.6555,48.8317,47.3578,,UP,1
2001-09-19,53.6422,52.1853,50.0449,47.5087,,UP,1
2001-09-20,56.6886,53.9071,51.9734,47.7011,,DOWN,0
2001-09-21,55.0992,56.9535,53.6687,47.8637,,UP,1
2001-09-24,55.629,55.629,54.5959,48.0703,,UP,1
2001-09-25,55.7614,56.1588,55.3641,48.2902,,UP,1
2001-09-26,58.9138,56.6886,56.4184,48.5546,,UP,1
2001-09-27,63.4435,61.5892,57.7694,48.9297,,DOWN,0
2001-09-28,61.9601,63.8409,59.1416,49.255,,DOWN,0
2001-10-01,61.1389,60.927,60.2435,49.5585,,DOWN,0
2001-10-02,60.1323,59.6025,61.1177,49.842,,UP,1
2001-10-03,61.4833,60.6621,61.6316,50.163,,DOWN,0
2001-10-04,61.1654,61.7217,61.176,50.4857,,UP,1
2001-10-05,62.119,61.1919,61.2078,50.8301,,DOWN,0
