ticker,XRAY US Equity,XRAY US Equity,XRAY US Equity,XRAY US Equity,XRAY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,7.8333,7.9583,8.2322,7.9313,7.7846,DOWN,0
2000-01-04,7.8333,7.8333,8.2314,7.9021,7.7975,UP,1
2000-01-05,7.9688,7.8333,8.2344,7.9104,7.8119,UP,1
2000-01-06,7.9792,7.875,8.2346,7.8979,7.8302,DOWN,0
2000-01-07,7.9583,7.9583,8.2346,7.9146,7.8456,UP,1
2000-01-10,8.1458,7.9583,8.2359,7.9771,7.8619,DOWN,0
2000-01-11,8.1458,8.0833,8.2374,8.0396,7.8702,DOWN,0
2000-01-12,7.9688,8.1563,8.2385,8.0396,7.8775,UP,1
2000-01-13,8.3125,7.9583,8.2414,8.1063,7.8862,DOWN,0
2000-01-14,8.2083,8.3333,8.2439,8.1563,7.8967,DOWN,0
2000-01-18,8.0417,8.0833,8.2455,8.1354,7.9033,DOWN,0
2000-01-19,8.0,8.0,8.2476,8.1063,7.905,DOWN,0
2000-01-20,7.7708,8.0,8.2493,8.0667,7.9037,UP,1
2000-01-21,7.9635,7.8333,8.2518,7.9969,7.9105,UP,1
2000-01-24,8.125,7.9792,8.2547,7.9802,7.9205,DOWN,0
2000-01-25,8.0417,8.2083,8.2571,7.9802,7.9226,UP,1
2000-01-26,8.125,8.0,8.2596,8.0052,7.927,UP,1
2000-01-27,8.1458,8.125,8.2624,8.0802,7.9324,UP,1
2000-01-28,8.2708,8.1458,8.2653,8.1417,7.9395,DOWN,0
2000-01-31,8.25,8.3125,8.2681,8.1667,7.9457,UP,1
2000-02-01,8.3333,8.25,8.2712,8.225,7.9518,UP,1
2000-02-02,8.6042,8.375,8.275,8.3208,7.9626,UP,1
2000-02-03,8.6458,8.5625,8.2785,8.4208,7.9764,UP,1
2000-02-04,8.7708,8.6667,8.2813,8.5208,7.9939,UP,1
2000-02-07,8.8333,8.8333,8.2842,8.6375,8.0139,DOWN,0
