ticker,XYL US Equity,XYL US Equity,XYL US Equity,XYL US Equity,XYL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-10-13,24.25,23.5,,,,UP,1
2011-10-14,25.35,24.36,,,,DOWN,0
2011-10-17,25.16,25.5,,,,UP,1
2011-10-18,25.24,25.06,,,,DOWN,0
2011-10-19,24.75,25.25,24.95,,,DOWN,0
2011-10-20,24.75,24.8,25.05,,,UP,1
2011-10-21,25.54,25.0,25.088,,,UP,1
2011-10-24,25.77,25.5,25.21,,,DOWN,0
2011-10-25,25.75,25.88,25.312,,,DOWN,0
2011-10-26,25.02,26.09,25.366,,,UP,1
2011-10-27,25.62,25.25,25.54,,,UP,1
2011-10-28,25.82,25.5,25.596,,,UP,1
2011-10-31,26.74,26.25,25.79,,,UP,1
2011-11-01,27.31,25.6,26.102,,,DOWN,0
2011-11-02,26.62,27.4,26.422,,,DOWN,0
2011-11-03,26.39,26.94,26.576,,,DOWN,0
2011-11-04,25.19,26.17,26.45,,,DOWN,0
2011-11-07,24.6,24.91,26.022,,,UP,1
2011-11-08,24.94,25.1,25.548,,,DOWN,0
2011-11-09,23.89,24.35,25.002,,,DOWN,0
2011-11-10,23.65,24.48,24.454,,,UP,1
2011-11-11,23.79,23.88,24.174,,,UP,1
2011-11-14,23.93,23.58,24.04,,,UP,1
2011-11-15,23.99,23.94,23.85,,,UP,1
2011-11-16,24.12,23.95,23.896,,,DOWN,0
2011-11-17,23.85,24.0,23.936,,,UP,1
2011-11-18,23.93,23.88,23.964,,,DOWN,0
2011-11-21,23.62,23.7,23.902,,,UP,1
2011-11-22,23.63,25.02,23.83,,,UP,1
2011-11-23,23.68,23.27,23.742,,,DOWN,0
2011-11-25,23.0,23.45,23.572,,,UP,1
2011-11-28,23.49,23.66,23.484,,,DOWN,0
2011-11-29,23.27,23.51,23.414,,,UP,1
2011-11-30,23.9,24.06,23.468,,,UP,1
2011-12-01,24.27,23.81,23.586,,,DOWN,0
2011-12-02,24.25,25.48,23.836,,,UP,1
2011-12-05,25.09,24.57,24.156,,,DOWN,0
2011-12-06,24.83,25.02,24.468,,,DOWN,0
2011-12-07,24.57,24.72,24.602,,,DOWN,0
2011-12-08,23.88,24.45,24.524,,,UP,1
2011-12-09,24.35,24.07,24.544,,,DOWN,0
2011-12-12,23.92,23.95,24.31,,,DOWN,0
2011-12-13,23.85,24.02,24.114,,,DOWN,0
2011-12-14,23.41,23.6,23.882,,,UP,1
2011-12-15,23.92,23.55,23.89,,,UP,1
2011-12-16,24.67,24.14,23.954,,,DOWN,0
2011-12-19,24.25,24.67,24.02,,,UP,1
2011-12-20,24.31,24.59,24.112,,,UP,1
2011-12-21,24.92,24.45,24.414,,,DOWN,0
2011-12-22,24.83,25.07,24.596,24.5974,,UP,1
2011-12-23,24.91,24.83,24.644,24.6106,,UP,1
2011-12-27,25.05,24.84,24.804,24.6046,,UP,1
2011-12-28,25.56,25.11,25.054,24.6126,,UP,1
2011-12-29,25.95,25.67,25.26,24.6268,,DOWN,0
2011-12-30,25.69,25.99,25.432,24.6456,,DOWN,0
2012-01-03,25.14,26.02,25.478,24.6534,,UP,1
2012-01-04,25.97,25.07,25.662,24.662,,DOWN,0
2012-01-05,25.6,25.78,25.67,24.6586,,DOWN,0
2012-01-06,25.17,25.54,25.514,24.647,,UP,1
2012-01-09,25.27,25.16,25.43,24.652,,UP,1
2012-01-10,25.58,25.46,25.518,24.6512,,UP,1
2012-01-11,26.06,25.46,25.536,24.656,,DOWN,0
2012-01-12,25.7,26.08,25.556,24.6352,,DOWN,0
2012-01-13,25.63,25.45,25.648,24.6016,,DOWN,0
2012-01-17,25.63,25.9,25.72,24.5818,,UP,1
2012-01-18,26.99,25.51,26.002,24.5938,,DOWN,0
2012-01-19,26.62,27.0,26.114,24.6224,,DOWN,0
2012-01-20,26.36,26.62,26.246,24.6576,,DOWN,0
2012-01-23,25.75,26.45,26.27,24.6738,,UP,1
2012-01-24,26.14,25.69,26.372,24.7188,,UP,1
2012-01-25,26.6,26.04,26.294,24.7778,,DOWN,0
2012-01-26,25.94,26.68,26.158,24.8208,,DOWN,0
2012-01-27,25.81,25.61,26.048,24.8584,,UP,1
2012-01-30,25.92,25.65,26.082,24.897,,DOWN,0
2012-01-31,25.91,26.11,26.036,24.9328,,UP,1
2012-02-01,26.82,26.02,26.08,24.9922,,DOWN,0
2012-02-02,26.65,26.86,26.222,25.0466,,UP,1
2012-02-03,27.03,26.96,26.466,25.1148,,DOWN,0
2012-02-06,26.78,26.9,26.638,25.1778,,UP,1
2012-02-07,27.22,26.7,26.9,25.2486,,UP,1
2012-02-08,27.39,27.16,27.014,25.3364,,DOWN,0
2012-02-09,27.13,27.35,27.11,25.4092,,DOWN,0
2012-02-10,27.07,26.96,27.118,25.4852,,DOWN,0
2012-02-13,27.03,27.35,27.168,25.5478,,DOWN,0
2012-02-14,26.92,26.9,27.108,25.6008,,UP,1
2012-02-15,27.0,26.97,27.03,25.6558,,UP,1
