ticker,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,ZBH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2001-07-25,28.8709,28.6186,,,,DOWN,0
2001-07-26,27.2605,28.0366,,,,UP,1
2001-07-27,27.5515,27.3575,,,,UP,1
2001-07-30,27.6097,27.5515,,,,UP,1
2001-07-31,27.7455,27.6097,27.8076,,,UP,1
2001-08-01,28.6186,28.1336,27.7572,,,DOWN,0
2001-08-02,27.794,28.5992,27.8639,,,DOWN,0
2001-08-03,27.1634,27.5515,27.7863,,,DOWN,0
2001-08-06,26.9306,27.1634,27.6504,,,UP,1
2001-08-07,29.0455,27.6485,27.9104,,,DOWN,0
2001-08-08,27.8328,28.8127,27.7533,,,DOWN,0
2001-08-09,27.5127,27.2605,27.697,,,DOWN,0
2001-08-10,27.1634,27.1634,27.697,,,DOWN,0
2001-08-13,26.4844,26.9209,27.6078,,,UP,1
2001-08-14,26.8724,26.4844,27.1731,,,UP,1
2001-08-15,27.2411,26.9209,27.0548,,,UP,1
2001-08-16,27.2605,27.1925,27.0043,,,DOWN,0
2001-08-17,27.1634,26.8724,27.0043,,,DOWN,0
2001-08-20,26.3873,26.8239,26.9849,,,UP,1
2001-08-21,26.5232,26.3873,26.9151,,,DOWN,0
2001-08-22,26.4456,26.2903,26.756,,,DOWN,0
2001-08-23,25.9508,26.3388,26.4941,,,DOWN,0
2001-08-24,25.8926,25.4657,26.2399,,,DOWN,0
2001-08-27,25.8635,25.8053,26.1351,,,DOWN,0
2001-08-28,25.2426,25.3202,25.879,,,UP,1
2001-08-29,25.6112,25.2426,25.7121,,,UP,1
2001-08-30,26.1448,25.6112,25.7509,,,UP,1
2001-08-31,26.3873,25.9993,25.8499,,,UP,1
2001-09-04,26.95,26.2903,26.0672,,,DOWN,0
2001-09-05,26.8239,26.8239,26.3835,,,DOWN,0
2001-09-06,26.4262,26.7269,26.5464,,,DOWN,0
2001-09-07,25.8635,25.7083,26.4902,,,DOWN,0
2001-09-10,25.6501,25.7083,26.3427,,,DOWN,0
2001-09-17,24.4956,24.3501,25.8518,,,DOWN,0
2001-09-18,24.3501,24.4956,25.3571,,,DOWN,0
2001-09-19,24.2725,24.0591,24.9263,,,UP,1
2001-09-20,24.9807,24.2531,24.7498,,,UP,1
2001-09-21,25.0777,24.2531,24.6353,,,UP,1
2001-09-24,25.9023,25.0292,24.9166,,,DOWN,0
2001-09-25,25.5142,25.9023,25.1495,,,UP,1
2001-09-26,25.9993,25.4657,25.4948,,,UP,1
2001-09-27,26.1933,25.8053,25.7374,,,UP,1
2001-09-28,26.9209,26.1933,26.106,,,UP,1
2001-10-01,27.2702,26.9209,26.3796,,,UP,1
2001-10-02,27.697,27.309,26.8161,,,UP,1
2001-10-03,27.9395,27.697,27.2042,,,UP,1
2001-10-04,27.9977,27.9395,27.5651,,,UP,1
2001-10-05,28.1821,27.8425,27.8173,,,DOWN,0
2001-10-08,27.8619,28.0366,27.9357,,,DOWN,0
2001-10-09,27.8522,27.6485,27.9667,26.7358,,UP,1
2001-10-10,28.1433,27.794,28.0075,26.7213,,UP,1
2001-10-11,28.541,28.1433,28.1161,26.7469,,UP,1
2001-10-12,28.9291,28.0366,28.2655,26.7744,,DOWN,0
2001-10-15,28.8806,28.8515,28.4692,26.7998,,UP,1
2001-10-16,29.0552,28.8127,28.7098,26.826,,UP,1
2001-10-17,29.0746,29.0843,28.8961,26.8352,,DOWN,0
2001-10-18,27.9589,27.6485,28.7797,26.8385,,UP,1
2001-10-19,28.5022,27.988,28.6943,26.8652,,UP,1
2001-10-22,28.8612,28.5216,28.6904,26.9038,,UP,1
2001-10-23,28.9,28.8612,28.6594,26.9009,,UP,1
2001-10-24,29.0552,28.9582,28.6555,26.9254,,DOWN,0
2001-10-25,28.7059,28.9582,28.8049,26.9492,,DOWN,0
2001-10-26,28.1433,28.6671,28.7331,26.9688,,UP,1
2001-10-29,28.3276,28.1336,28.6264,27.0057,,UP,1
2001-10-30,29.2007,28.8127,28.6865,27.0523,,UP,1
2001-10-31,29.9865,30.0253,28.8728,27.1072,,UP,1
2001-11-01,30.4716,30.5589,29.2259,27.1714,,UP,1
2001-11-02,30.7529,30.4134,29.7479,27.2432,,DOWN,0
2001-11-05,30.0932,30.8596,30.101,27.3173,,UP,1
2001-11-06,30.8402,30.1223,30.4289,27.4036,,DOWN,0
2001-11-07,30.8208,29.6858,30.5957,27.4912,,DOWN,0
2001-11-08,29.6858,30.9178,30.4386,27.5659,,DOWN,0
2001-11-09,29.1134,29.3947,30.1107,27.6303,,DOWN,0
2001-11-12,29.0843,29.1522,29.9089,27.6947,,UP,1
2001-11-13,29.3559,29.1037,29.612,27.7769,,UP,1
2001-11-14,29.9768,29.3462,29.4432,27.8643,,DOWN,0
2001-11-15,29.1231,30.0738,29.3307,27.9238,,UP,1
2001-11-16,29.1813,29.2492,29.3443,27.9797,,DOWN,0
2001-11-19,29.0552,29.2977,29.3385,28.0218,,UP,1
