ticker,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-03-15,16.0,,,,,UP,1
2018-03-16,33.0,27.5,,,,DOWN,0
2018-03-19,27.9,31.45,,,,UP,1
2018-03-20,30.38,28.41,,,,UP,1
2018-03-21,31.08,30.79,27.672,,,DOWN,0
2018-03-22,29.83,30.0,30.438,,,DOWN,0
2018-03-23,29.43,30.31,29.724,,,DOWN,0
2018-03-26,27.83,30.63,29.71,,,DOWN,0
2018-03-27,27.75,28.0,29.184,,,DOWN,0
2018-03-28,27.53,27.35,28.474,,,UP,1
2018-03-29,28.07,27.75,28.122,,,DOWN,0
2018-04-02,27.06,27.9,27.648,,,DOWN,0
2018-04-03,26.8,27.13,27.442,,,UP,1
2018-04-04,27.97,26.35,27.486,,,UP,1
2018-04-05,28.53,28.61,27.686,,,DOWN,0
2018-04-06,28.22,28.32,27.716,,,DOWN,0
2018-04-09,26.54,28.47,27.612,,,UP,1
2018-04-10,28.07,27.06,27.866,,,DOWN,0
2018-04-11,27.71,28.03,27.814,,,UP,1
2018-04-12,27.96,27.81,27.7,,,DOWN,0
2018-04-13,27.48,28.7,27.552,,,UP,1
2018-04-16,28.99,27.89,28.042,,,DOWN,0
2018-04-17,28.75,29.31,28.178,,,DOWN,0
2018-04-18,28.65,28.96,28.366,,,DOWN,0
2018-04-19,28.03,28.65,28.38,,,DOWN,0
2018-04-20,27.22,28.05,28.328,,,DOWN,0
2018-04-23,26.86,27.2,27.902,,,UP,1
2018-04-24,27.14,27.0,27.58,,,UP,1
2018-04-25,28.11,27.09,27.472,,,UP,1
2018-04-26,28.65,28.4,27.596,,,UP,1
2018-04-27,28.71,28.86,27.894,,,UP,1
2018-04-30,29.89,28.7,28.5,,,DOWN,0
2018-05-01,29.13,29.8,28.898,,,UP,1
2018-05-02,29.95,29.32,29.266,,,DOWN,0
2018-05-03,27.57,28.75,29.05,,,UP,1
2018-05-04,27.86,27.58,28.88,,,DOWN,0
2018-05-07,27.65,28.0,28.432,,,DOWN,0
2018-05-08,27.53,27.65,28.112,,,UP,1
2018-05-09,27.85,27.49,27.692,,,UP,1
2018-05-10,28.18,27.85,27.814,,,UP,1
2018-05-11,29.32,28.25,28.106,,,DOWN,0
2018-05-14,28.47,29.37,28.27,,,DOWN,0
2018-05-15,27.41,28.42,28.246,,,DOWN,0
2018-05-16,27.09,27.53,28.094,,,UP,1
2018-05-17,27.39,27.07,27.936,,,DOWN,0
2018-05-18,27.28,27.4,27.528,,,UP,1
2018-05-21,27.42,27.35,27.318,,,DOWN,0
2018-05-22,27.09,27.56,27.254,,,DOWN,0
2018-05-23,26.56,26.88,27.148,,,DOWN,0
2018-05-24,26.55,26.45,26.98,27.9288,,DOWN,0
2018-05-25,24.95,26.5,26.514,28.1078,,UP,1
2018-05-29,25.63,25.0,26.156,27.9604,,DOWN,0
2018-05-30,25.5,25.94,25.838,27.9124,,UP,1
2018-05-31,26.26,25.62,25.778,27.83,,UP,1
2018-06-01,28.18,26.36,26.104,27.772,,UP,1
2018-06-04,29.21,28.39,26.956,27.7596,,UP,1
2018-06-05,30.13,29.32,27.856,27.7736,,UP,1
2018-06-06,30.65,30.2,28.886,27.83,,UP,1
2018-06-07,37.79,36.0,31.192,28.0308,,UP,1
2018-06-08,40.53,37.49,33.662,28.2908,,UP,1
2018-06-11,41.25,40.96,36.07,28.5544,,DOWN,0
2018-06-12,38.93,41.76,37.83,28.7918,,DOWN,0
2018-06-13,38.83,39.11,39.466,29.0324,,UP,1
2018-06-14,39.39,39.58,39.786,29.2608,,UP,1
2018-06-15,41.0,38.95,39.88,29.5102,,DOWN,0
2018-06-18,40.4,40.75,39.71,29.7538,,DOWN,0
2018-06-19,39.16,39.89,39.756,30.0062,,DOWN,0
2018-06-20,37.885,39.61,39.567,30.2025,,DOWN,0
2018-06-21,35.21,38.08,38.731,30.3525,,UP,1
2018-06-22,36.63,35.6,37.857,30.5259,,DOWN,0
2018-06-25,36.36,36.38,37.049,30.7035,,DOWN,0
2018-06-26,35.87,36.45,36.391,30.8411,,DOWN,0
2018-06-27,34.61,35.78,35.736,30.9583,,UP,1
2018-06-28,35.31,34.5,35.756,31.0915,,UP,1
2018-06-29,35.75,35.7,35.58,31.2459,,UP,1
2018-07-02,37.08,36.0,35.724,31.4431,,DOWN,0
2018-07-03,36.43,37.46,35.836,31.6345,,UP,1
2018-07-05,36.67,36.61,36.248,31.8251,,UP,1
2018-07-06,38.01,36.7,36.788,32.0231,,UP,1
2018-07-09,39.87,38.95,37.612,32.2475,,DOWN,0
2018-07-10,38.54,40.34,37.904,32.4441,,UP,1
2018-07-11,39.12,38.0,38.442,32.6287,,UP,1
2018-07-12,40.54,39.23,39.216,32.8569,,DOWN,0
2018-07-13,39.74,40.68,39.562,33.0527,,UP,1
2018-07-16,41.12,39.66,39.812,33.3237,,UP,1
2018-07-17,41.88,41.12,40.48,33.6041,,DOWN,0
