ticker,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,0.999,0.936,0.5644,0.9177,0.8455,0.915
2000-01-04,0.915,0.967,0.5675,0.9254,0.8506,0.929
2000-01-05,0.929,0.926,0.5706,0.9314,0.8559,0.848
2000-01-06,0.848,0.948,0.5734,0.9219,0.8594,0.888
2000-01-07,0.888,0.862,0.5763,0.916,0.8636,0.873
2000-01-10,0.873,0.911,0.5792,0.8906,0.8671,0.828
2000-01-11,0.828,0.857,0.5817,0.8732,0.8694,0.778
2000-01-12,0.778,0.848,0.584,0.8432,0.8711,0.864
2000-01-13,0.864,0.844,0.5867,0.8463,0.874,0.897
2000-01-14,0.897,0.893,0.5896,0.848,0.8774,0.928
2000-01-18,0.928,0.902,0.5926,0.859,0.881,0.951
2000-01-19,0.951,0.943,0.5957,0.8837,0.8843,1.013
2000-01-20,1.013,1.031,0.5991,0.9307,0.8873,0.994
2000-01-21,0.994,1.02,0.6024,0.9567,0.8912,0.949
2000-01-24,0.949,0.968,0.6055,0.9671,0.8939,1.002
2000-01-25,1.002,0.938,0.6089,0.9819,0.8974,0.984
2000-01-26,0.984,0.982,0.6123,0.9884,0.9009,0.982
2000-01-27,0.982,0.972,0.6156,0.9821,0.9046,0.907
2000-01-28,0.907,0.966,0.6185,0.9648,0.9065,0.926
2000-01-31,0.926,0.902,0.6216,0.9604,0.9089,0.895
2000-02-01,0.895,0.929,0.6245,0.939,0.9108,0.882
2000-02-02,0.882,0.9,0.6274,0.9186,0.9119,0.922
2000-02-03,0.922,0.896,0.6305,0.9067,0.9142,0.964
2000-02-04,0.964,0.928,0.6337,0.9181,0.9169,1.018
2000-02-07,1.018,0.964,0.6371,0.9365,0.9203,1.026
2000-02-08,1.026,1.018,0.6404,0.9626,0.9239,1.006
2000-02-09,1.006,1.019,0.6433,0.9873,0.9271,1.013
2000-02-10,1.013,1.008,0.6464,1.0055,0.9299,0.971
