ticker,AMAT US Equity,AMAT US Equity,AMAT US Equity,AMAT US Equity,AMAT US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,31.625,32.0938,19.5046,31.5,26.3741,30.0625
2000-01-04,30.0625,30.4375,19.5798,31.2094,26.5813,28.9375
2000-01-05,28.9375,29.5156,19.6512,30.6781,26.7584,28.9844
2000-01-06,28.9844,28.5625,19.7244,30.2563,26.9375,29.2344
2000-01-07,29.2344,28.1875,19.7942,29.7688,27.1256,31.5938
2000-01-10,31.5938,29.7813,19.8799,29.7625,27.3388,30.2031
2000-01-11,30.2031,30.9375,19.9542,29.7906,27.4938,31.7656
2000-01-12,31.7656,30.5,20.0349,30.3563,27.6903,31.125
2000-01-13,31.125,30.9063,20.1134,30.7844,27.8572,33.9063
2000-01-14,33.9063,32.4531,20.2025,31.7188,28.0631,33.7813
2000-01-18,33.7813,33.4688,20.2892,32.1563,28.275,35.5938
2000-01-19,35.5938,33.875,20.3823,33.2344,28.4969,35.0
2000-01-20,35.0,35.9688,20.4763,33.8813,28.7109,35.3125
2000-01-21,35.3125,35.4063,20.5715,34.7188,28.92,35.125
2000-01-24,35.125,35.0781,20.664,34.9625,29.1138,36.1094
2000-01-25,36.1094,35.3594,20.7662,35.4281,29.2934,33.5781
2000-01-26,33.5781,36.0156,20.8593,35.025,29.42,33.875
2000-01-27,33.875,34.2969,20.9549,34.8,29.5713,32.4375
2000-01-28,32.4375,33.6563,21.0396,34.225,29.6925,34.3125
2000-01-31,34.3125,32.1719,21.1345,34.0625,29.8288,35.125
2000-02-01,35.125,33.4375,21.2367,33.8656,29.9963,35.9531
2000-02-02,35.9531,35.0156,21.3455,34.3406,30.1791,37.125
2000-02-03,37.125,36.2344,21.4545,34.9906,30.405,36.3438
2000-02-04,36.3438,37.4063,21.5589,35.7719,30.6175,38.4063
2000-02-07,38.4063,36.375,21.675,36.5906,30.8734,40.2813
2000-02-08,40.2813,38.6875,21.8005,37.6219,31.1691,40.9336
