ticker,APA US Equity,APA US Equity,APA US Equity,APA US Equity,APA US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,14.7727,15.882,16.2396,15.5736,16.098,14.1234
2000-01-04,14.1234,14.2857,16.2553,15.3301,16.0271,14.5292
2000-01-05,14.5292,14.2316,16.2735,15.0325,15.9632,15.9091
2000-01-06,15.9091,14.9351,16.2972,15.0649,15.9308,15.855
2000-01-07,15.855,16.1255,16.3197,15.0379,15.9015,15.2327
2000-01-10,15.2327,15.5844,16.3374,15.1299,15.8707,15.2868
2000-01-11,15.2868,15.2327,16.3527,15.3626,15.8388,15.2056
2000-01-12,15.2056,15.1515,16.3712,15.4978,15.7971,15.5303
2000-01-13,15.5303,15.1786,16.3925,15.4221,15.7674,15.395
2000-01-14,15.395,15.6385,16.4129,15.3301,15.737,16.829
2000-01-18,16.829,15.9091,16.4389,15.6494,15.7381,16.7208
2000-01-19,16.7208,17.2078,16.4648,15.9361,15.7468,16.829
2000-01-20,16.829,17.0996,16.4943,16.2608,15.7452,17.4242
2000-01-21,17.4242,17.1537,16.5244,16.6396,15.7511,16.9643
2000-01-24,16.9643,17.4242,16.5516,16.9535,15.7403,17.1537
2000-01-25,17.1537,17.2078,16.5775,17.0184,15.7435,16.9643
2000-01-26,16.9643,17.4242,16.6016,17.0671,15.7419,16.1797
2000-01-27,16.1797,16.8831,16.6243,16.9372,15.7241,16.0714
2000-01-28,16.0714,16.0173,16.6419,16.6667,15.6948,15.8009
2000-01-31,15.8009,16.1797,16.656,16.434,15.6353,16.4232
2000-02-01,16.4232,15.8009,16.6714,16.2879,15.5899,16.3961
2000-02-02,16.3961,16.4232,16.6906,16.1742,15.5601,16.4773
2000-02-03,16.4773,16.8831,16.7096,16.2338,15.5487,16.0173
2000-02-04,16.0173,16.8831,16.7276,16.2229,15.5487,16.5584
2000-02-07,16.5584,15.9632,16.7495,16.3745,15.553,15.9903
2000-02-08,15.9903,16.4502,16.7714,16.2879,15.5509,15.1786
