ticker,APH US Equity,APH US Equity,APH US Equity,APH US Equity,APH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,2.1016,2.1074,1.4919,2.0813,2.0096,2.0293
2000-01-04,2.0293,2.0898,1.4965,2.0711,2.0184,1.9844
2000-01-05,1.9844,2.0215,1.5009,2.0523,2.0261,1.9297
2000-01-06,1.9297,1.9766,1.505,2.025,2.0321,1.9492
2000-01-07,1.9492,1.9375,1.5092,1.9988,2.0374,2.041
2000-01-10,2.041,1.9531,1.5138,1.9867,2.0421,2.0898
2000-01-11,2.0898,2.0469,1.5185,1.9988,2.047,2.3789
2000-01-12,2.3789,2.1172,1.5246,2.0777,2.0574,2.3477
2000-01-13,2.3477,2.3867,1.5304,2.1613,2.0667,2.3965
2000-01-14,2.3965,2.3438,1.5362,2.2508,2.0773,2.4609
2000-01-18,2.4609,2.4629,1.5424,2.3348,2.0884,2.4375
2000-01-19,2.4375,2.4531,1.5486,2.4043,2.0986,2.4238
2000-01-20,2.4238,2.4766,1.5547,2.4133,2.108,2.3301
2000-01-21,2.3301,2.4238,1.5604,2.4098,2.1148,2.3125
2000-01-24,2.3125,2.3379,1.5657,2.393,2.1209,2.248
2000-01-25,2.248,2.3125,1.5707,2.3504,2.1257,2.2813
2000-01-26,2.2813,2.248,1.5759,2.3191,2.1313,2.248
2000-01-27,2.248,2.2891,1.581,2.284,2.1338,2.1426
2000-01-28,2.1426,2.248,1.5855,2.2465,2.1343,2.1211
2000-01-31,2.1211,2.1426,1.59,2.2082,2.1343,2.1074
2000-02-01,2.1074,2.1211,1.5944,2.1801,2.134,2.1523
2000-02-02,2.1523,2.1074,1.599,2.1543,2.1355,2.1621
2000-02-03,2.1621,2.1719,1.6037,2.1371,2.1364,2.1934
2000-02-04,2.1934,2.1719,1.6087,2.1473,2.1378,2.1582
2000-02-07,2.1582,2.1719,1.6136,2.1547,2.1393,2.1797
2000-02-08,2.1797,2.1797,1.6186,2.1691,2.1416,2.1152
