ticker,AXP US Equity,AXP US Equity,AXP US Equity,AXP US Equity,AXP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,45.8828,47.9982,40.1587,47.6481,45.1472,44.1504
2000-01-04,44.1504,45.3175,40.2002,47.039,45.1629,42.965
2000-01-05,42.965,43.9133,40.2381,45.974,45.1855,43.8403
2000-01-06,43.8403,42.4544,40.2864,45.0695,45.2176,44.4786
2000-01-07,44.4786,43.9862,40.3301,44.2634,45.2282,45.0987
2000-01-10,45.0987,44.6427,40.3794,44.1066,45.1906,45.5181
2000-01-11,45.5181,45.0439,40.4271,44.3801,45.2023,45.281
2000-01-12,45.281,45.4999,40.4762,44.8433,45.2384,45.5181
2000-01-13,45.5181,45.664,40.532,45.1789,45.288,46.5393
2000-01-14,46.5393,46.0834,40.5882,45.591,45.3609,44.2233
2000-01-18,44.2233,46.1017,40.6263,45.416,45.3916,43.4574
2000-01-19,43.4574,44.7886,40.6638,45.0038,45.3868,44.4786
2000-01-20,44.4786,43.8403,40.7017,44.8433,45.4189,44.2598
2000-01-21,44.2598,44.6427,40.7367,44.5917,45.4517,44.351
2000-01-24,44.351,45.0075,40.7711,44.154,45.4926,46.2111
2000-01-25,46.2111,44.2415,40.8047,44.5516,45.5663,46.6123
2000-01-26,46.6123,46.6852,40.8357,45.1825,45.5984,47.5423
2000-01-27,47.5423,46.977,40.8742,45.7953,45.6315,46.1746
2000-01-28,46.1746,47.0135,40.9101,46.1783,45.6243,48.0712
2000-01-31,48.0712,45.8099,40.961,46.9223,45.6833,49.3113
2000-02-01,49.3113,48.0165,41.0235,47.5423,45.7658,47.9071
2000-02-02,47.9071,49.1654,41.077,47.8013,45.8194,47.5241
2000-02-03,47.5241,47.9982,41.1179,47.7976,45.8669,47.1047
2000-02-04,47.1047,47.5241,41.1533,47.9837,45.9015,47.3964
2000-02-07,47.3964,47.1047,41.1927,47.8487,45.9566,47.5606
2000-02-08,47.5606,47.7065,41.2346,47.4986,46.0172,45.6822
