ticker,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,2.4883,2.4531,2.8319,2.4234,2.4122,2.4063
2000-01-04,2.4063,2.4727,2.8296,2.4219,2.4106,2.4492
2000-01-05,2.4492,2.3984,2.8277,2.4336,2.4091,2.4883
2000-01-06,2.4883,2.457,2.8259,2.4586,2.4092,2.418
2000-01-07,2.418,2.4961,2.8238,2.45,2.4073,2.4961
2000-01-10,2.4961,2.6367,2.8219,2.4516,2.407,2.543
2000-01-11,2.543,2.5,2.82,2.4789,2.4075,2.4336
2000-01-12,2.4336,2.543,2.8177,2.4758,2.4061,2.4883
2000-01-13,2.4883,2.4766,2.8154,2.4758,2.4062,2.6289
2000-01-14,2.6289,2.6094,2.8139,2.518,2.4086,2.6484
2000-01-18,2.6484,2.6445,2.8127,2.5484,2.4123,2.6055
2000-01-19,2.6055,2.6641,2.8114,2.5609,2.4149,2.6211
2000-01-20,2.6211,2.6211,2.8104,2.5984,2.4176,2.5625
2000-01-21,2.5625,2.6641,2.8093,2.6133,2.4209,2.4609
2000-01-24,2.4609,2.5781,2.8077,2.5797,2.4204,2.3438
2000-01-25,2.3438,2.4531,2.8048,2.5188,2.4167,2.375
2000-01-26,2.375,2.3125,2.802,2.4727,2.4153,2.3398
2000-01-27,2.3398,2.3789,2.7978,2.4164,2.4127,2.25
2000-01-28,2.25,2.3438,2.7929,2.3539,2.4084,2.2734
2000-01-31,2.2734,2.2539,2.7875,2.3164,2.4045,2.2461
2000-02-01,2.2461,2.2578,2.7816,2.2969,2.4003,2.207
2000-02-02,2.207,2.2578,2.7764,2.2633,2.3959,2.2148
2000-02-03,2.2148,2.2578,2.7711,2.2383,2.3925,2.1719
2000-02-04,2.1719,2.207,2.7657,2.2227,2.3871,2.125
2000-02-07,2.125,2.1836,2.7595,2.193,2.3819,2.0586
2000-02-08,2.0586,2.1328,2.7531,2.1555,2.3759,2.0703
