ticker,BSX US Equity,BSX US Equity,BSX US Equity,BSX US Equity,BSX US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,11.5,11.0625,16.3952,10.9063,10.3694,11.6875
2000-01-04,11.6875,11.4375,16.3545,11.1438,10.4138,12.5313
2000-01-05,12.5313,11.7813,16.3208,11.5688,10.4863,12.875
2000-01-06,12.875,12.5625,16.2895,11.9063,10.5638,12.4063
2000-01-07,12.4063,12.875,16.2556,12.2,10.6206,12.0
2000-01-10,12.0,12.125,16.2213,12.3,10.6594,11.8438
2000-01-11,11.8438,11.9375,16.1823,12.3313,10.6944,11.4375
2000-01-12,11.4375,11.875,16.1413,12.1125,10.7144,11.3438
2000-01-13,11.3438,11.25,16.0964,11.8063,10.73,11.5
2000-01-14,11.5,11.3438,16.0545,11.625,10.7531,11.625
2000-01-18,11.625,11.3438,16.0125,11.55,10.7806,11.3438
2000-01-19,11.3438,11.5938,15.9667,11.45,10.7956,10.5625
2000-01-20,10.5625,11.125,15.9195,11.275,10.8038,10.3438
2000-01-21,10.3438,10.6875,15.8716,11.075,10.8056,10.5625
2000-01-24,10.5625,10.5625,15.8247,10.8875,10.8119,10.4063
2000-01-25,10.4063,10.5625,15.7752,10.6438,10.81,10.5938
2000-01-26,10.5938,10.4375,15.7253,10.4938,10.8094,10.5625
2000-01-27,10.5625,10.7188,15.6781,10.4938,10.7981,10.4375
2000-01-28,10.4375,10.4375,15.6316,10.5125,10.7869,10.375
2000-01-31,10.375,10.4063,15.5917,10.475,10.7762,10.1875
2000-02-01,10.1875,10.375,15.5533,10.4313,10.7638,10.5
2000-02-02,10.5,10.1875,15.5141,10.4125,10.7569,9.9688
2000-02-03,9.9688,10.125,15.4542,10.2938,10.7363,9.75
2000-02-04,9.75,9.7813,15.3936,10.1563,10.7125,9.5625
2000-02-07,9.5625,9.75,15.3333,9.9938,10.6794,9.625
2000-02-08,9.625,9.625,15.2716,9.8813,10.6469,10.5313
