ticker,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,24.3125,24.4375,28.099,23.575,25.0541,24.0
2000-01-04,24.0,24.0625,28.1017,23.6188,24.9823,24.5625
2000-01-05,24.5625,24.0313,28.1117,23.8813,24.9341,25.8125
2000-01-06,25.8125,25.5,28.1259,24.4438,24.896,26.6563
2000-01-07,26.6563,26.4375,28.1406,25.0688,24.8754,25.7813
2000-01-10,25.7813,27.0313,28.1524,25.3625,24.8435,25.375
2000-01-11,25.375,25.8125,28.1612,25.6375,24.7979,25.8125
2000-01-12,25.8125,25.75,28.1729,25.8875,24.7679,26.0938
2000-01-13,26.0938,26.5938,28.1885,25.9438,24.7291,25.9688
2000-01-14,25.9688,26.0313,28.201,25.8063,24.6823,24.9688
2000-01-18,24.9688,25.7813,28.2032,25.6438,24.636,24.6563
2000-01-19,24.6563,24.9688,28.2056,25.5,24.5816,23.5625
2000-01-20,23.5625,24.7813,28.2021,25.05,24.5123,23.6875
2000-01-21,23.6875,23.5938,28.199,24.5688,24.4473,22.6563
2000-01-24,22.6563,23.5,28.1904,23.9063,24.3629,21.8125
2000-01-25,21.8125,22.4063,28.171,23.275,24.2491,22.4688
2000-01-26,22.4688,21.6875,28.1465,22.8375,24.1485,22.2813
2000-01-27,22.2813,22.4688,28.1062,22.5813,24.0385,21.75
2000-01-28,21.75,22.0625,28.0604,22.1938,23.9054,21.2188
2000-01-31,21.2188,21.5625,28.007,21.9063,23.776,21.5938
2000-02-01,21.5938,21.375,27.9606,21.8625,23.6485,21.7188
2000-02-02,21.7188,22.25,27.9174,21.7125,23.591,21.1563
2000-02-03,21.1563,21.5938,27.869,21.4875,23.5116,21.1563
2000-02-04,21.1563,21.25,27.8253,21.3688,23.4329,20.625
2000-02-07,20.625,20.8125,27.777,21.25,23.3598,20.5
2000-02-08,20.5,20.75,27.7245,21.0313,23.2885,19.5625
