ticker,CHD US Equity,CHD US Equity,CHD US Equity,CHD US Equity,CHD US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,4.3333,4.5104,3.9087,4.4167,4.6021,4.2292
2000-01-04,4.2292,4.3333,3.9128,4.3667,4.6,4.2292
2000-01-05,4.2292,4.25,3.9176,4.3229,4.6006,4.375
2000-01-06,4.375,4.2292,3.9229,4.3229,4.6046,4.5417
2000-01-07,4.5417,4.375,3.9285,4.3417,4.6102,4.4792
2000-01-10,4.4792,4.5625,3.9343,4.3708,4.6129,4.4375
2000-01-11,4.4375,4.5,3.9398,4.4125,4.6148,4.3542
2000-01-12,4.3542,4.4479,3.9448,4.4375,4.614,4.5521
2000-01-13,4.5521,4.4375,3.9506,4.4729,4.6115,4.5104
2000-01-14,4.5104,4.5417,3.9564,4.4667,4.6083,4.3646
2000-01-18,4.3646,4.4896,3.9617,4.4438,4.5977,4.3125
2000-01-19,4.3125,4.3438,3.9668,4.4188,4.5871,4.2917
2000-01-20,4.2917,4.3333,3.9717,4.4063,4.5779,4.1354
2000-01-21,4.1354,4.3021,3.9759,4.3229,4.566,4.0521
2000-01-24,4.0521,4.1354,3.9798,4.2313,4.5527,3.8125
2000-01-25,3.8125,4.0417,3.9828,4.1208,4.5335,3.8854
2000-01-26,3.8854,3.8542,3.9864,4.0354,4.5131,3.8229
2000-01-27,3.8229,3.9583,3.9894,3.9417,4.4904,3.6979
2000-01-28,3.6979,3.8542,3.992,3.8542,4.4637,3.6771
2000-01-31,3.6771,3.7083,3.9941,3.7792,4.4379,3.4271
2000-02-01,3.4271,3.6979,3.9944,3.7021,4.4073,3.5417
2000-02-02,3.5417,3.4583,3.9956,3.6333,4.3796,3.4479
2000-02-03,3.4479,3.5833,3.9963,3.5583,4.35,3.375
2000-02-04,3.375,3.4688,3.9968,3.4938,4.3223,3.2292
2000-02-07,3.2292,3.3333,3.9966,3.4042,4.291,3.0417
2000-02-08,3.0417,3.1667,3.9958,3.3271,4.2558,2.7396
