ticker,CME US Equity,CME US Equity,CME US Equity,CME US Equity,CME US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2002-12-05,7.0,7.0,,,,8.58
2002-12-06,8.58,7.8,,,,8.404
2002-12-09,8.404,8.54,,,,8.55
2002-12-10,8.55,8.41,,,,9.012
2002-12-11,9.012,8.54,8.3092,,,8.782
2002-12-12,8.782,9.012,8.6656,,,8.73
2002-12-13,8.73,8.782,8.6956,,,8.62
2002-12-16,8.62,8.7,8.7388,,,8.654
2002-12-17,8.654,8.6,8.7596,,,8.534
2002-12-18,8.534,8.64,8.664,,,8.46
2002-12-19,8.46,8.51,8.5996,,,8.89
2002-12-20,8.89,8.48,8.6316,,,8.68
2002-12-23,8.68,8.87,8.6436,,,8.61
2002-12-24,8.61,8.72,8.6348,,,8.52
2002-12-26,8.52,8.62,8.632,,,8.4
2002-12-27,8.4,8.5,8.62,,,8.464
2002-12-30,8.464,8.46,8.5348,,,8.732
2002-12-31,8.732,8.454,8.5452,,,8.744
2003-01-02,8.744,8.732,8.572,,,9.16
2003-01-03,9.16,8.744,8.7,,,9.62
2003-01-06,9.62,9.006,8.944,,,9.604
2003-01-07,9.604,9.6,9.172,,,9.602
2003-01-08,9.602,9.606,9.346,,,9.81
2003-01-09,9.81,9.62,9.5592,,,9.798
2003-01-10,9.798,9.77,9.6868,,,9.924
2003-01-13,9.924,9.8,9.7476,,,9.82
2003-01-14,9.82,9.924,9.7908,,,9.41
2003-01-15,9.41,9.68,9.7524,,,9.076
2003-01-16,9.076,9.4,9.6056,,,9.004
2003-01-17,9.004,9.05,9.4468,,,8.89
2003-01-21,8.89,9.01,9.24,,,8.83
2003-01-22,8.83,8.86,9.042,,,9.086
2003-01-23,9.086,8.84,8.9772,,,9.398
2003-01-24,9.398,9.07,9.0416,,,9.25
2003-01-27,9.25,9.358,9.0908,,,9.202
2003-01-28,9.202,9.26,9.1532,,,9.3
2003-01-29,9.3,9.18,9.2472,,,8.84
2003-01-30,8.84,9.3,9.198,,,8.5
2003-01-31,8.5,8.8,9.0184,,,8.47
2003-02-03,8.47,8.49,8.8624,,,8.4
2003-02-04,8.4,8.44,8.702,,,8.348
2003-02-05,8.348,8.39,8.5116,,,8.3
2003-02-06,8.3,8.34,8.4036,,,8.422
2003-02-07,8.422,8.32,8.388,,,8.6
2003-02-10,8.6,8.422,8.414,,,8.582
2003-02-11,8.582,8.6,8.4504,,,8.582
2003-02-12,8.582,8.55,8.4972,,,8.7
2003-02-13,8.7,8.57,8.5772,,,8.9
2003-02-14,8.9,8.74,8.6728,,,8.904
2003-02-18,8.904,8.95,8.7336,8.854,,8.954
2003-02-19,8.954,8.906,8.808,8.893,,9.006
2003-02-20,9.006,8.96,8.8928,8.9016,,9.072
2003-02-21,9.072,9.008,8.9672,8.9149,,9.108
2003-02-24,9.108,9.0,9.0088,8.9261,,9.144
2003-02-25,9.144,9.1,9.0568,8.9287,,9.068
2003-02-26,9.068,9.148,9.0796,8.9344,,8.66
2003-02-27,8.66,9.048,9.0104,8.933,,8.61
2003-02-28,8.61,8.65,8.918,8.9328,,8.626
2003-03-03,8.626,8.612,8.8216,8.9323,,8.564
2003-03-04,8.564,8.62,8.7056,8.9329,,8.45
2003-03-05,8.45,8.566,8.582,8.9327,,8.468
2003-03-06,8.468,8.422,8.5436,8.9242,,8.466
2003-03-07,8.466,8.47,8.5148,8.92,,8.472
2003-03-10,8.472,8.456,8.484,8.9172,,8.454
2003-03-11,8.454,8.474,8.462,8.9159,,8.476
2003-03-12,8.476,8.48,8.4672,8.9174,,8.504
2003-03-13,8.504,8.5,8.4744,8.9182,,8.64
2003-03-14,8.64,8.5,8.5092,8.9164,,9.19
2003-03-17,9.19,8.64,8.6528,8.9253,,9.21
2003-03-18,9.21,9.194,8.804,8.9263,,9.39
2003-03-19,9.39,9.22,8.9868,8.9217,,9.11
2003-03-20,9.11,9.392,9.108,8.9118,,9.42
2003-03-21,9.42,9.14,9.264,8.9082,,9.6
2003-03-24,9.6,9.4,9.346,8.904,,9.686
2003-03-25,9.686,9.59,9.4412,8.9017,,9.7
2003-03-26,9.7,9.68,9.5032,8.8972,,9.78
2003-03-27,9.78,9.68,9.6372,8.8964,,9.73
2003-03-28,9.73,9.76,9.6992,8.9028,,9.63
2003-03-31,9.63,9.71,9.7052,8.9139,,9.594
2003-04-01,9.594,9.632,9.6868,8.9257,,9.632
2003-04-02,9.632,9.474,9.6732,8.9406,,9.656
2003-04-03,9.656,9.64,9.6484,8.9571,,9.68
2003-04-04,9.68,9.67,9.6384,8.969,,9.34
2003-04-07,9.34,9.74,9.5804,8.9678,,9.292
2003-04-08,9.292,9.32,9.52,8.9686,,9.35
2003-04-09,9.35,9.31,9.4636,8.9716,,9.424
2003-04-10,9.424,9.36,9.4172,8.9741,,9.354
2003-04-11,9.354,9.44,9.352,8.9844,,9.502
2003-04-14,9.502,9.354,9.3844,9.0044,,9.5
2003-04-15,9.5,9.494,9.426,9.025,,9.522
