ticker,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,3.138,3.541,3.1008,3.155,2.4773,3.238
2000-01-04,3.238,3.2,3.1051,3.2025,2.4931,3.144
2000-01-05,3.144,3.175,3.1098,3.2288,2.5068,3.1
2000-01-06,3.1,3.125,3.1144,3.2413,2.521,3.053
2000-01-07,3.053,3.113,3.1178,3.1344,2.5347,3.069
2000-01-10,3.069,3.05,3.1214,3.1206,2.5478,3.25
2000-01-11,3.25,3.056,3.1251,3.1231,2.5636,3.363
2000-01-12,3.363,3.309,3.1287,3.1669,2.5841,3.638
2000-01-13,3.638,3.388,3.1323,3.2744,2.6103,3.8
2000-01-14,3.8,3.775,3.1363,3.4238,2.6391,3.806
2000-01-18,3.806,3.85,3.1397,3.5713,2.6667,3.95
2000-01-19,3.95,3.813,3.1429,3.7113,2.6977,3.5
2000-01-20,3.5,3.913,3.1424,3.7388,2.7187,3.863
2000-01-21,3.863,3.494,3.143,3.7838,2.7502,3.744
2000-01-24,3.744,3.9,3.1436,3.7725,2.7801,3.731
2000-01-25,3.731,3.738,3.1439,3.7575,2.8097,3.731
2000-01-26,3.731,3.675,3.1442,3.7138,2.8377,3.675
2000-01-27,3.675,3.672,3.1411,3.7488,2.8652,3.513
2000-01-28,3.513,3.625,3.1364,3.6788,2.8898,3.225
2000-01-31,3.225,3.513,3.1306,3.575,2.909,3.25
2000-02-01,3.25,3.225,3.1292,3.4788,2.9282,3.244
2000-02-02,3.244,3.238,3.1281,3.3813,2.9476,3.294
2000-02-03,3.294,3.269,3.1272,3.305,2.9676,3.494
2000-02-04,3.494,3.294,3.1259,3.3012,2.9907,3.513
2000-02-07,3.513,3.588,3.1234,3.3588,3.0141,3.613
2000-02-08,3.613,3.55,3.1215,3.4313,3.0404,3.663
2000-02-09,3.663,3.563,3.1203,3.515,3.068,3.713
2000-02-10,3.713,3.631,3.1201,3.5988,3.0962,3.625
