ticker,DFS US Equity,DFS US Equity,DFS US Equity,DFS US Equity,DFS US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2007-06-14,28.75,28.0,,,,29.08
2007-06-15,29.08,29.5,,,,29.93
2007-06-18,29.93,29.32,,,,29.7
2007-06-19,29.7,30.0,,,,29.81
2007-06-20,29.81,30.04,29.454,,,31.21
2007-06-21,31.21,30.06,29.946,,,31.7
2007-06-22,31.7,31.5,30.47,,,31.3
2007-06-25,31.3,31.5,30.744,,,30.41
2007-06-26,30.41,31.3,30.886,,,29.58
2007-06-27,29.58,30.6,30.84,,,29.5
2007-06-28,29.5,29.88,30.498,,,28.5
2007-06-29,28.5,29.99,29.858,,,27.5
2007-07-02,27.5,28.55,29.098,,,26.67
2007-07-03,26.67,27.5,28.35,,,25.93
2007-07-05,25.93,26.25,27.62,,,25.64
2007-07-06,25.64,25.64,26.848,,,25.54
2007-07-09,25.54,25.72,26.256,,,24.9
2007-07-10,24.9,25.6,25.736,,,25.21
2007-07-11,25.21,25.02,25.444,,,26.34
2007-07-12,26.34,25.59,25.526,,,27.16
2007-07-13,27.16,26.47,25.83,,,26.84
2007-07-16,26.84,27.21,26.09,,,26.5
2007-07-17,26.5,26.96,26.41,,,26.36
2007-07-18,26.36,26.45,26.64,,,26.71
2007-07-19,26.71,26.25,26.714,,,26.3
2007-07-20,26.3,26.71,26.542,,,26.12
2007-07-23,26.12,26.3,26.398,,,25.0
2007-07-24,25.0,25.54,26.098,,,24.1
2007-07-25,24.1,24.76,25.646,,,24.62
2007-07-26,24.62,23.26,25.228,,,23.33
2007-07-27,23.33,24.26,24.634,,,23.57
2007-07-30,23.57,23.4,24.124,,,23.05
2007-07-31,23.05,23.65,23.734,,,22.88
2007-08-01,22.88,22.68,23.49,,,23.37
2007-08-02,23.37,22.5,23.24,,,21.99
2007-08-03,21.99,22.66,22.972,,,22.15
2007-08-06,22.15,22.24,22.688,,,22.88
2007-08-07,22.88,22.05,22.654,,,24.29
2007-08-08,24.29,23.5,22.936,,,22.16
2007-08-09,22.16,23.4,22.694,,,20.86
2007-08-10,20.86,21.75,22.468,,,22.1
2007-08-13,22.1,21.26,22.458,,,21.96
2007-08-14,21.96,22.29,22.274,,,21.66
2007-08-15,21.66,21.89,21.748,,,22.85
2007-08-16,22.85,20.5,21.886,,,23.18
2007-08-17,23.18,23.89,22.35,,,23.45
2007-08-20,23.45,23.1,22.62,,,23.67
2007-08-21,23.67,23.09,22.962,,,23.73
2007-08-22,23.73,23.66,23.376,,,23.7
2007-08-23,23.7,23.94,23.546,25.6748,,23.99
2007-08-24,23.99,23.42,23.708,25.5796,,23.83
2007-08-27,23.83,24.02,23.784,25.4746,,22.71
2007-08-28,22.71,23.32,23.592,25.3302,,23.33
2007-08-29,23.33,22.57,23.512,25.2028,,22.76
2007-08-30,22.76,22.82,23.324,25.0618,,23.14
2007-08-31,23.14,23.01,23.154,24.9004,,23.43
2007-09-04,23.43,23.05,23.074,24.735,,22.55
2007-09-05,22.55,22.68,23.042,24.56,,22.28
2007-09-06,22.28,22.51,22.832,24.3974,,21.11
2007-09-07,21.11,21.98,22.502,24.228,,20.56
2007-09-10,20.56,21.17,21.986,24.0492,,20.61
2007-09-11,20.61,20.52,21.422,23.8914,,21.0
2007-09-12,21.0,20.45,21.112,23.7614,,21.34
2007-09-13,21.34,21.0,20.924,23.6548,,21.27
2007-09-14,21.27,21.29,20.956,23.5616,,21.32
2007-09-17,21.32,21.21,21.108,23.4752,,23.09
2007-09-18,23.09,21.4,21.604,23.4262,,23.41
2007-09-19,23.41,23.22,22.086,23.3964,,22.66
2007-09-20,22.66,23.27,22.35,23.3454,,22.4
2007-09-21,22.4,22.75,22.576,23.2666,,22.26
2007-09-24,22.26,22.7,22.764,23.1686,,21.72
2007-09-25,21.72,22.26,22.49,23.0662,,21.25
2007-09-26,21.25,21.65,22.058,22.9612,,20.67
2007-09-27,20.67,21.16,21.66,22.8474,,20.8
2007-09-28,20.8,20.7,21.34,22.7292,,21.57
2007-10-01,21.57,21.0,21.202,22.6346,,21.37
2007-10-02,21.37,21.57,21.132,22.5396,,21.35
2007-10-03,21.35,21.3,21.152,22.4666,,22.02
2007-10-04,22.02,21.5,21.422,22.425,,22.73
2007-10-05,22.73,22.23,21.808,22.3872,,22.65
2007-10-08,22.65,22.6,22.024,22.3736,,23.03
2007-10-09,23.03,22.67,22.356,22.3628,,22.65
2007-10-10,22.65,23.0,22.616,22.3548,,22.03
2007-10-11,22.03,22.85,22.618,22.3378,,22.13
2007-10-12,22.13,22.09,22.498,22.313,,21.38
2007-10-15,21.38,22.1,22.244,22.3008,,20.93
2007-10-16,20.93,21.34,21.824,22.2764,,20.78
2007-10-17,20.78,21.63,21.45,22.2344,,20.53
2007-10-18,20.53,20.61,21.15,22.1592,,19.8
2007-10-19,19.8,20.49,20.684,22.112,,19.68
2007-10-22,19.68,19.08,20.344,22.0884,,19.41
2007-10-23,19.41,20.0,20.04,22.0346,,18.39
