ticker,DGX US Equity,DGX US Equity,DGX US Equity,DGX US Equity,DGX US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,7.5,7.7031,6.5473,7.55,7.4375,7.4844
2000-01-04,7.4844,7.4531,6.5591,7.5531,7.4653,7.4219
2000-01-05,7.4219,7.5,6.5705,7.5281,7.4941,7.4531
2000-01-06,7.4531,7.3906,6.5824,7.5,7.5294,7.75
2000-01-07,7.75,7.4531,6.5956,7.5219,7.5631,7.8906
2000-01-10,7.8906,7.7656,6.6093,7.6,7.5869,7.875
2000-01-11,7.875,7.8438,6.6223,7.6781,7.6044,7.8438
2000-01-12,7.8438,7.8594,6.6334,7.7625,7.6141,8.1406
2000-01-13,8.1406,7.8906,6.6463,7.9,7.6309,7.7813
2000-01-14,7.7813,8.1563,6.6577,7.9063,7.6388,7.9219
2000-01-18,7.9219,7.75,6.6696,7.9125,7.6425,7.875
2000-01-19,7.875,7.8906,6.6813,7.9125,7.6463,7.9219
2000-01-20,7.9219,7.9219,6.6938,7.9281,7.6506,7.9219
2000-01-21,7.9219,7.8438,6.7059,7.8844,7.6544,7.9375
2000-01-24,7.9375,7.9063,6.7175,7.9156,7.6631,8.0156
2000-01-25,8.0156,7.9375,6.7293,7.9344,7.6738,9.0
2000-01-26,9.0,8.0156,6.7451,8.1594,7.7038,8.25
2000-01-27,8.25,9.0156,6.7573,8.225,7.7175,8.4063
2000-01-28,8.4063,8.3125,6.7712,8.3219,7.7338,8.5
2000-01-31,8.5,8.4531,6.7853,8.4344,7.7513,8.375
2000-02-01,8.375,8.5,6.7982,8.5063,7.7638,8.3906
2000-02-02,8.3906,8.4063,6.8118,8.3844,7.7788,8.6094
2000-02-03,8.6094,8.5,6.8264,8.4563,7.7966,8.7969
2000-02-04,8.7969,8.625,6.8416,8.5344,7.8175,8.8594
2000-02-07,8.8594,8.7656,6.8573,8.6063,7.8434,8.9375
2000-02-08,8.9375,8.8594,6.8728,8.7188,7.8703,9.0313
