ticker,DPZ US Equity,DPZ US Equity,DPZ US Equity,DPZ US Equity,DPZ US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2004-07-12,14.0,14.0,,,,13.5
2004-07-13,13.5,14.0,,,,13.44
2004-07-14,13.44,13.5,,,,13.84
2004-07-15,13.84,13.45,,,,13.83
2004-07-16,13.83,13.87,13.722,,,13.52
2004-07-19,13.52,13.8,13.626,,,13.93
2004-07-20,13.93,13.52,13.712,,,13.6
2004-07-21,13.6,13.94,13.744,,,13.6
2004-07-22,13.6,13.6,13.696,,,13.56
2004-07-23,13.56,13.4,13.642,,,13.2
2004-07-26,13.2,13.5,13.578,,,12.75
2004-07-27,12.75,13.2,13.342,,,13.03
2004-07-28,13.03,12.85,13.228,,,13.78
2004-07-29,13.78,13.1,13.264,,,13.9
2004-07-30,13.9,13.72,13.332,,,13.7
2004-08-02,13.7,13.8,13.432,,,13.94
2004-08-03,13.94,13.7,13.67,,,13.9
2004-08-04,13.9,14.04,13.844,,,13.89
2004-08-05,13.89,13.94,13.866,,,13.8
2004-08-06,13.8,13.82,13.846,,,13.7
2004-08-09,13.7,13.8,13.846,,,13.79
2004-08-10,13.79,13.7,13.816,,,13.7
2004-08-11,13.7,13.8,13.776,,,13.63
2004-08-12,13.63,13.65,13.724,,,13.4
2004-08-13,13.4,13.68,13.644,,,13.48
2004-08-16,13.48,13.4,13.6,,,13.45
2004-08-17,13.45,13.4,13.532,,,13.61
2004-08-18,13.61,13.52,13.514,,,13.3
2004-08-19,13.3,13.6,13.448,,,13.64
2004-08-20,13.64,13.25,13.496,,,13.85
2004-08-23,13.85,13.7,13.57,,,13.8
2004-08-24,13.8,13.75,13.64,,,13.8
2004-08-25,13.8,13.8,13.678,,,13.7
2004-08-26,13.7,13.9,13.758,,,14.04
2004-08-27,14.04,13.75,13.838,,,14.02
2004-08-30,14.02,14.0,13.872,,,14.25
2004-08-31,14.25,13.95,13.962,,,14.45
2004-09-01,14.45,14.25,14.092,,,14.3
2004-09-02,14.3,14.5,14.212,,,14.0
2004-09-03,14.0,14.05,14.204,,,13.87
2004-09-07,13.87,14.0,14.174,,,13.79
2004-09-08,13.79,13.77,14.082,,,13.78
2004-09-09,13.78,13.69,13.948,,,14.37
2004-09-10,14.37,14.15,13.962,,,14.35
2004-09-13,14.35,14.3,14.032,,,14.83
2004-09-14,14.83,14.44,14.224,,,15.22
2004-09-15,15.22,15.0,14.51,,,15.48
2004-09-16,15.48,15.22,14.85,,,15.2
2004-09-17,15.2,15.4,15.016,,,15.25
2004-09-20,15.25,15.2,15.196,13.8952,,15.4
2004-09-21,15.4,15.33,15.31,13.9232,,15.11
2004-09-22,15.11,15.25,15.288,13.9554,,14.97
2004-09-23,14.97,15.01,15.186,13.986,,15.04
2004-09-24,15.04,15.05,15.154,14.01,,14.88
2004-09-27,14.88,15.0,15.08,14.031,,15.25
2004-09-28,15.25,14.8,15.05,14.0656,,15.05
2004-09-29,15.05,15.35,15.038,14.088,,14.7
2004-09-30,14.7,15.05,14.984,14.11,,14.6
2004-10-01,14.6,14.8,14.896,14.13,,14.98
2004-10-04,14.98,14.95,14.916,14.1584,,15.32
2004-10-05,15.32,14.9,14.93,14.2008,,15.9
2004-10-06,15.9,15.27,15.1,14.2638,,15.91
2004-10-07,15.91,15.97,15.342,14.3214,,15.95
2004-10-08,15.95,15.85,15.612,14.3648,,16.0
2004-10-11,16.0,16.0,15.816,14.4068,,15.96
2004-10-12,15.96,16.07,15.944,14.452,,16.16
2004-10-13,16.16,16.05,15.996,14.4964,,15.89
2004-10-14,15.89,16.0,15.992,14.5362,,15.98
2004-10-15,15.98,15.89,15.998,14.578,,15.9
2004-10-18,15.9,16.0,15.978,14.62,,15.59
2004-10-19,15.59,16.0,15.904,14.6578,,15.61
2004-10-20,15.61,15.69,15.794,14.6942,,15.78
2004-10-21,15.78,15.55,15.772,14.7358,,15.85
2004-10-22,15.85,15.71,15.746,14.7802,,15.93
2004-10-25,15.93,15.95,15.752,14.8308,,15.88
2004-10-26,15.88,15.94,15.81,14.8788,,15.94
2004-10-27,15.94,15.92,15.876,14.9286,,15.93
2004-10-28,15.93,15.98,15.906,14.975,,16.4
2004-10-29,16.4,15.96,16.016,15.037,,16.8
2004-11-01,16.8,16.45,16.19,15.1002,,16.9
2004-11-02,16.9,16.8,16.394,15.1612,,16.88
2004-11-03,16.88,17.15,16.582,15.2228,,16.68
2004-11-04,16.68,16.93,16.732,15.2804,,17.0
2004-11-05,17.0,16.84,16.852,15.3464,,16.81
2004-11-08,16.81,17.05,16.854,15.4018,,16.65
2004-11-09,16.65,16.72,16.804,15.4544,,16.87
2004-11-10,16.87,16.75,16.802,15.5068,,17.73
2004-11-11,17.73,16.8,17.012,15.5724,,17.98
2004-11-12,17.98,17.45,17.208,15.646,,17.65
2004-11-15,17.65,17.98,17.376,15.719,,17.4
2004-11-16,17.4,17.7,17.526,15.7896,,17.5
2004-11-17,17.5,17.5,17.652,15.8638,,17.45
