ticker,EBAY US Equity,EBAY US Equity,EBAY US Equity,EBAY US Equity,EBAY US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,7.4311,6.8458,7.7394,7.2056,7.8111,6.734
2000-01-04,6.734,7.1286,7.7323,7.0806,7.7957,7.1845
2000-01-05,7.1845,6.3789,7.7297,7.007,7.7807,7.0957
2000-01-06,7.0957,7.0464,7.7269,7.0063,7.7626,7.0892
2000-01-07,7.0892,7.0497,7.7204,7.1069,7.7585,7.4837
2000-01-10,7.4837,7.4213,7.7172,7.1174,7.7649,7.3226
2000-01-11,7.3226,7.4706,7.715,7.2352,7.7691,6.859
2000-01-12,6.859,7.2404,7.7132,7.1701,7.7622,7.2503
2000-01-13,7.2503,7.0234,7.7133,7.201,7.7691,7.0398
2000-01-14,7.0398,7.3719,7.712,7.1911,7.7762,7.3391
2000-01-18,7.3391,6.8985,7.7096,7.1622,7.7862,7.5627
2000-01-19,7.5627,7.3193,7.7074,7.2102,7.7972,8.1479
2000-01-20,8.1479,7.6218,7.7087,7.468,7.816,7.9178
2000-01-21,7.9178,8.0624,7.7031,7.6015,7.8325,7.1747
2000-01-24,7.1747,7.9375,7.6908,7.6284,7.8357,7.2338
2000-01-25,7.2338,7.3193,7.6805,7.6074,7.8403,8.0789
2000-01-26,8.0789,7.7139,7.6754,7.7106,7.8579,8.0986
2000-01-27,8.0986,7.9178,7.673,7.7008,7.8718,7.7632
2000-01-28,7.7632,7.9441,7.6648,7.6698,7.8732,7.8948
2000-01-31,7.8948,7.681,7.658,7.8139,7.8826,7.9408
2000-02-01,7.9408,7.8125,7.6572,7.9553,7.8812,7.9441
2000-02-02,7.9441,7.9934,7.6541,7.9283,7.8865,8.6806
2000-02-03,8.6806,8.1677,7.6537,8.0447,7.8978,8.8417
2000-02-04,8.8417,8.4176,7.6526,8.2604,7.8983,8.9206
2000-02-07,8.9206,8.7003,7.6446,8.4656,7.8878,8.9305
2000-02-08,8.9305,9.0686,7.6343,8.6635,7.88,8.628
