ticker,ED US Equity,ED US Equity,ED US Equity,ED US Equity,ED US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,33.75,34.375,42.3291,34.6,35.6477,34.1875
2000-01-04,34.1875,33.5625,42.266,34.4125,35.5977,35.75
2000-01-05,35.75,34.375,42.2125,34.6125,35.5764,35.8125
2000-01-06,35.8125,35.25,42.1529,34.8,35.5552,36.0625
2000-01-07,36.0625,35.8125,42.0935,35.1125,35.5227,35.125
2000-01-10,35.125,36.125,42.0341,35.3875,35.4564,34.4375
2000-01-11,34.4375,35.125,41.9738,35.4375,35.3814,34.5625
2000-01-12,34.5625,34.4375,41.9197,35.2,35.3114,34.25
2000-01-13,34.25,34.875,41.8644,34.8875,35.2414,33.6875
2000-01-14,33.6875,34.125,41.8057,34.4125,35.1552,32.625
2000-01-18,32.625,33.25,41.7394,33.9125,35.0552,33.25
2000-01-19,33.25,32.875,41.6794,33.675,34.9627,32.875
2000-01-20,32.875,33.25,41.6219,33.3375,34.8739,33.5625
2000-01-21,33.5625,33.125,41.5632,33.2,34.8102,34.0
2000-01-24,34.0,34.375,41.5072,33.2625,34.7552,33.0
2000-01-25,33.0,34.125,41.4438,33.3375,34.6789,34.0
2000-01-26,34.0,33.25,41.3897,33.4875,34.6239,33.3125
2000-01-27,33.3125,34.0,41.3354,33.575,34.5664,32.5625
2000-01-28,32.5625,33.3125,41.2766,33.375,34.4952,32.6875
2000-01-31,32.6875,32.625,41.2185,33.1125,34.4289,32.875
2000-02-01,32.875,32.75,41.1591,33.0875,34.3664,32.5
2000-02-02,32.5,32.875,41.0925,32.7875,34.2952,32.8125
2000-02-03,32.8125,32.5625,41.0279,32.6875,34.2414,32.25
2000-02-04,32.25,32.8125,40.9607,32.625,34.1902,31.5625
2000-02-07,31.5625,32.3125,40.8938,32.4,34.1227,31.5
2000-02-08,31.5,31.375,40.8263,32.125,34.0552,31.4375
2000-02-09,31.4375,31.4375,40.7585,31.9125,34.0065,31.8125
