ticker,EFX US Equity,EFX US Equity,EFX US Equity,EFX US Equity,EFX US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,13.125,13.528,18.1817,13.5358,14.4664,12.685
2000-01-04,12.685,12.832,18.1454,13.3671,14.4085,12.539
2000-01-05,12.539,12.795,18.1117,13.1692,14.3579,12.392
2000-01-06,12.392,12.685,18.0721,12.9125,14.3058,12.979
2000-01-07,12.979,12.575,18.0363,12.7439,14.2581,12.869
2000-01-10,12.869,12.832,18.0031,12.6926,14.1943,13.235
2000-01-11,13.235,12.832,17.9678,12.8025,14.1423,12.649
2000-01-12,12.649,13.089,17.9289,12.8245,14.0719,11.915
2000-01-13,11.915,12.612,17.8877,12.7292,13.9854,12.465
2000-01-14,12.465,12.172,17.8499,12.6266,13.9106,12.355
2000-01-18,12.355,12.429,17.8068,12.5239,13.8373,12.429
2000-01-19,12.429,12.319,17.7652,12.3626,13.7625,12.135
2000-01-20,12.135,12.502,17.7188,12.2599,13.6803,11.989
2000-01-21,11.989,12.355,17.6723,12.2746,13.607,11.659
2000-01-24,11.659,11.952,17.6246,12.1133,13.5234,12.465
2000-01-25,12.465,11.879,17.5764,12.1353,13.4611,12.465
2000-01-26,12.465,12.392,17.5295,12.1426,13.409,12.575
2000-01-27,12.575,12.575,17.4838,12.2306,13.3526,12.649
2000-01-28,12.649,12.612,17.4424,12.3626,13.2895,12.612
2000-01-31,12.612,12.649,17.3999,12.5532,13.236,12.319
2000-02-01,12.319,12.502,17.3528,12.5239,13.181,12.612
2000-02-02,12.612,12.172,17.3093,12.5532,13.1311,12.759
2000-02-03,12.759,13.052,17.2677,12.5899,13.0959,12.685
2000-02-04,12.685,12.869,17.2277,12.5972,13.0688,12.502
2000-02-07,12.502,12.539,17.187,12.5752,13.0395,12.942
2000-02-08,12.942,12.612,17.1449,12.6999,13.0153,12.612
2000-02-09,12.612,12.685,17.0998,12.6999,12.9815,12.869
2000-02-10,12.869,12.685,17.0571,12.7219,12.9486,13.015
