ticker,ELV US Equity,ELV US Equity,ELV US Equity,ELV US Equity,ELV US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2001-10-29,18.0,18.0,,,,20.45
2001-10-30,20.45,20.25,,,,20.94
2001-10-31,20.94,20.55,,,,21.085
2001-11-01,21.085,21.125,,,,21.45
2001-11-02,21.45,21.025,20.385,,,21.445
2001-11-05,21.445,21.75,21.074,,,22.025
2001-11-06,22.025,21.475,21.389,,,21.625
2001-11-07,21.625,21.875,21.526,,,21.35
2001-11-08,21.35,21.5,21.579,,,21.0
2001-11-09,21.0,21.25,21.489,,,21.425
2001-11-12,21.425,21.0,21.485,,,21.375
2001-11-13,21.375,21.7,21.355,,,22.975
2001-11-14,22.975,22.0,21.625,,,23.375
2001-11-15,23.375,22.85,22.03,,,23.4
2001-11-16,23.4,23.45,22.51,,,23.75
2001-11-19,23.75,23.375,22.975,,,24.4
2001-11-20,24.4,23.65,23.58,,,24.505
2001-11-21,24.505,24.35,23.886,,,24.59
2001-11-23,24.59,24.475,24.129,,,24.275
2001-11-26,24.275,24.85,24.304,,,24.3
2001-11-27,24.3,24.4,24.414,,,24.475
2001-11-28,24.475,24.275,24.429,,,25.005
2001-11-29,25.005,24.75,24.529,,,25.425
2001-11-30,25.425,25.05,24.696,,,25.65
2001-12-03,25.65,25.4,24.971,,,25.75
2001-12-04,25.75,25.675,25.261,,,24.43
2001-12-05,24.43,25.9,25.252,,,24.245
2001-12-06,24.245,24.45,25.1,,,24.3
2001-12-07,24.3,24.25,24.875,,,24.125
2001-12-10,24.125,24.3,24.57,,,24.1
2001-12-11,24.1,24.125,24.24,,,23.93
2001-12-12,23.93,24.125,24.14,,,24.05
2001-12-13,24.05,23.805,24.101,,,24.0
2001-12-14,24.0,24.0,24.041,,,24.625
2001-12-17,24.625,24.05,24.141,,,24.65
2001-12-18,24.65,24.75,24.251,,,24.0
2001-12-19,24.0,24.65,24.265,,,23.45
2001-12-20,23.45,23.88,24.145,,,22.875
2001-12-21,22.875,23.4,23.92,,,22.8
2001-12-24,22.8,22.875,23.555,,,23.125
2001-12-26,23.125,22.925,23.25,,,23.45
2001-12-27,23.45,23.175,23.14,,,24.25
2001-12-28,24.25,23.475,23.3,,,24.75
2001-12-31,24.75,24.35,23.675,,,24.4
2002-01-02,24.4,24.84,23.995,,,24.225
2002-01-03,24.225,24.4,24.215,,,23.93
2002-01-04,23.93,24.25,24.311,,,23.51
2002-01-07,23.51,23.93,24.163,,,23.7
2002-01-08,23.7,23.425,23.953,,,23.8
2002-01-09,23.8,23.775,23.833,23.3753,,25.05
2002-01-10,25.05,23.8,23.998,23.5163,,25.75
2002-01-11,25.75,25.05,24.362,23.6223,,25.95
2002-01-14,25.95,25.8,24.85,23.7225,,25.35
2002-01-15,25.35,25.85,25.18,23.8078,,25.495
2002-01-16,25.495,25.225,25.519,23.8887,,25.15
2002-01-17,25.15,25.5,25.539,23.9628,,25.49
2002-01-18,25.49,25.025,25.487,24.0321,,25.875
2002-01-22,25.875,25.365,25.472,24.1171,,26.13
2002-01-23,26.13,25.7,25.628,24.2127,,26.4
2002-01-24,26.4,26.025,25.809,24.3207,,26.94
2002-01-25,26.94,26.5,26.167,24.431,,26.875
2002-01-28,26.875,26.7,26.444,24.541,,26.6
2002-01-29,26.6,26.525,26.589,24.6135,,26.26
2002-01-30,26.26,26.25,26.615,24.6712,,26.6
2002-01-31,26.6,26.3,26.655,24.7352,,26.575
2002-02-01,26.575,26.625,26.582,24.7917,,26.1
2002-02-04,26.1,26.485,26.427,24.8257,,27.12
2002-02-05,27.12,26.15,26.531,24.878,,28.25
2002-02-06,28.25,28.25,26.929,24.9512,,28.8
2002-02-07,28.8,28.25,27.369,25.0417,,28.85
2002-02-08,28.85,28.875,27.824,25.1327,,28.775
2002-02-11,28.775,28.765,28.359,25.2187,,28.45
2002-02-12,28.45,28.5,28.625,25.2876,,28.025
2002-02-13,28.025,28.55,28.58,25.3396,,28.205
2002-02-14,28.205,28.1,28.461,25.3907,,28.05
2002-02-15,28.05,28.2,28.301,25.4367,,27.185
2002-02-19,27.185,28.0,27.983,25.4918,,27.0
2002-02-20,27.0,26.9,27.693,25.5469,,27.775
2002-02-21,27.775,26.975,27.643,25.6164,,28.175
2002-02-22,28.175,27.725,27.637,25.6974,,28.525
2002-02-25,28.525,28.1,27.732,25.7859,,29.125
2002-02-26,29.125,28.75,28.12,25.8898,,28.99
2002-02-27,28.99,29.05,28.518,25.9886,,29.05
2002-02-28,29.05,28.9,28.773,26.0896,,29.025
2002-03-01,29.025,28.925,28.943,26.1776,,27.75
2002-03-04,27.75,28.9,28.788,26.2396,,27.325
2002-03-05,27.325,27.665,28.428,26.3061,,28.175
2002-03-06,28.175,27.375,28.265,26.4006,,28.13
2002-03-07,28.13,28.35,28.081,26.5057,,28.125
2002-03-08,28.125,28.135,27.901,26.6122,,28.3
2002-03-11,28.3,28.0,28.011,26.7157,,28.245
2002-03-12,28.245,28.2,28.195,26.8116,,28.275
