ticker,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2012-03-29,6.0,,,,,7.34
2012-03-30,7.34,7.5,,,,7.81
2012-04-02,7.81,7.65,,,,7.64
2012-04-03,7.64,7.75,,,,7.45
2012-04-04,7.45,7.77,7.248,,,7.43
2012-04-05,7.43,7.48,7.534,,,6.98
2012-04-09,6.98,7.89,7.462,,,7.07
2012-04-10,7.07,7.09,7.314,,,7.13
2012-04-11,7.13,7.25,7.212,,,7.3
2012-04-12,7.3,7.56,7.182,,,7.1
2012-04-13,7.1,7.69,7.116,,,7.16
2012-04-16,7.16,7.15,7.152,,,7.0
2012-04-17,7.0,7.15,7.138,,,7.29
2012-04-18,7.29,6.96,7.17,,,7.04
2012-04-19,7.04,7.21,7.118,,,7.02
2012-04-20,7.02,7.05,7.102,,,6.98
2012-04-23,6.98,7.0,7.066,,,6.91
2012-04-24,6.91,7.09,7.048,,,6.88
2012-04-25,6.88,6.94,6.966,,,6.86
2012-04-26,6.86,6.8999,6.93,,,6.75
2012-04-27,6.75,6.84,6.876,,,7.28
2012-04-30,7.28,7.2,6.936,,,7.92
2012-05-01,7.92,7.5,7.138,,,8.0
2012-05-02,8.0,8.0,7.362,,,8.82
2012-05-03,8.82,8.09,7.754,,,8.36
2012-05-04,8.36,8.79,8.076,,,8.34
2012-05-07,8.34,8.37,8.288,,,8.48
2012-05-08,8.48,8.3,8.4,,,8.65
2012-05-09,8.65,8.61,8.53,,,8.6
2012-05-10,8.6,8.94,8.486,,,8.43
2012-05-11,8.43,8.74,8.5,,,8.22
2012-05-14,8.22,8.4,8.476,,,8.4
2012-05-15,8.4,8.27,8.46,,,8.32
2012-05-16,8.32,8.33,8.394,,,8.41
2012-05-17,8.41,8.41,8.356,,,7.99
2012-05-18,7.99,8.32,8.268,,,8.1
2012-05-21,8.1,8.06,8.244,,,7.99
2012-05-22,7.99,8.49,8.162,,,7.9
2012-05-23,7.9,8.34,8.078,,,7.85
2012-05-24,7.85,7.8,7.966,,,7.79
2012-05-25,7.79,7.82,7.926,,,7.8
2012-05-29,7.8,7.7,7.866,,,7.01
2012-05-30,7.01,7.79,7.67,,,6.9
2012-05-31,6.9,7.12,7.47,,,5.95
2012-06-01,5.95,7.43,7.09,,,4.96
2012-06-04,4.96,5.98,6.524,,,5.33
2012-06-05,5.33,5.19,6.03,,,6.69
2012-06-06,6.69,5.45,5.966,,,6.6
2012-06-07,6.6,6.76,5.906,,,6.98
2012-06-08,6.98,6.54,6.112,7.4242,,6.45
2012-06-11,6.45,7.27,6.41,7.4332,,7.08
2012-06-12,7.08,6.54,6.76,7.428,,7.02
2012-06-13,7.02,6.98,6.826,7.4122,,7.24
2012-06-14,7.24,6.97,6.954,7.4042,,7.01
2012-06-15,7.01,7.23,6.96,7.3954,,6.95
2012-06-18,6.95,7.08,7.06,7.3858,,7.0
2012-06-19,7.0,7.0,7.044,7.3862,,6.8
2012-06-20,6.8,7.0,7.0,7.3808,,6.6
2012-06-21,6.6,6.82,6.872,7.3702,,6.61
2012-06-22,6.61,6.66,6.792,7.3564,,6.28
2012-06-25,6.28,6.51,6.658,7.34,,5.99
2012-06-26,5.99,6.31,6.456,7.3166,,5.85
2012-06-27,5.85,5.97,6.266,7.2936,,6.29
2012-06-28,6.29,5.82,6.204,7.2736,,6.22
2012-06-29,6.22,6.42,6.126,7.2572,,6.19
2012-07-02,6.19,6.22,6.108,7.2406,,6.19
2012-07-03,6.19,5.77,6.148,7.2248,,6.19
2012-07-05,6.19,6.15,6.216,7.2104,,6.24
2012-07-06,6.24,6.34,6.206,7.1976,,6.2
2012-07-09,6.2,6.22,6.202,7.1844,,5.81
2012-07-10,5.81,6.32,6.126,7.1656,,5.74
2012-07-11,5.74,5.81,6.036,7.1348,,5.49
2012-07-12,5.49,5.7,5.896,7.0862,,6.04
2012-07-13,6.04,5.5,5.856,7.047,,5.67
2012-07-16,5.67,6.28,5.75,6.984,,5.65
2012-07-17,5.65,5.76,5.718,6.9298,,5.97
2012-07-18,5.97,5.66,5.764,6.8824,,5.88
2012-07-19,5.88,6.07,5.842,6.8304,,6.1
2012-07-20,6.1,5.96,5.854,6.7794,,6.21
2012-07-23,6.21,6.03,5.962,6.7316,,5.83
2012-07-24,5.83,6.23,5.998,6.6796,,5.76
2012-07-25,5.76,5.87,5.956,6.6304,,5.87
2012-07-26,5.87,5.81,5.954,6.5798,,5.84
2012-07-27,5.84,5.93,5.902,6.5302,,5.9
2012-07-30,5.9,5.89,5.84,6.48,,5.81
2012-07-31,5.81,5.91,5.836,6.4364,,5.64
2012-08-01,5.64,5.87,5.812,6.3872,,5.78
2012-08-02,5.78,5.63,5.794,6.343,,6.03
2012-08-03,6.03,5.89,5.832,6.3056,,6.33
2012-08-06,6.33,6.02,5.918,6.2752,,6.67
2012-08-07,6.67,6.25,6.09,6.2528,,5.07
2012-08-08,5.07,6.59,5.976,6.1982,,5.56
