ticker,ES US Equity,ES US Equity,ES US Equity,ES US Equity,ES US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,20.6875,20.5,18.2631,20.625,21.0487,20.6875
2000-01-04,20.6875,20.5,18.2947,20.6125,21.0475,20.8125
2000-01-05,20.8125,20.5625,18.3269,20.675,21.045,21.0625
2000-01-06,21.0625,20.5625,18.3597,20.7625,21.0463,21.25
2000-01-07,21.25,20.9375,18.3941,20.9,21.0525,21.0625
2000-01-10,21.0625,21.125,18.4263,20.975,21.0563,21.0
2000-01-11,21.0,21.0625,18.4581,21.0375,21.06,21.125
2000-01-12,21.125,21.0,18.4925,21.1,21.0625,20.9375
2000-01-13,20.9375,21.0625,18.5278,21.075,21.06,20.625
2000-01-14,20.625,20.9375,18.5603,20.95,21.0475,20.125
2000-01-18,20.125,20.625,18.59,20.7625,21.025,20.125
2000-01-19,20.125,20.125,18.6203,20.5875,21.0013,20.625
2000-01-20,20.625,20.3125,18.6547,20.4875,20.9862,20.5625
2000-01-21,20.5625,20.625,18.6875,20.4125,20.9713,19.75
2000-01-24,19.75,20.375,18.7153,20.2375,20.9388,19.875
2000-01-25,19.875,19.875,18.7441,20.1875,20.91,20.25
2000-01-26,20.25,20.125,18.7766,20.2125,20.8863,20.5625
2000-01-27,20.5625,20.25,18.8106,20.2,20.87,20.4375
2000-01-28,20.4375,20.5625,18.8428,20.175,20.85,20.5
2000-01-31,20.5,20.4375,18.8744,20.325,20.8337,20.3125
2000-02-01,20.3125,20.375,18.9034,20.4125,20.81,20.3125
2000-02-02,20.3125,20.3125,18.9306,20.425,20.7925,20.4375
2000-02-03,20.4375,20.25,18.9594,20.4,20.7863,20.1875
2000-02-04,20.1875,20.4375,18.9866,20.35,20.7788,20.1875
2000-02-07,20.1875,20.0625,19.0144,20.2875,20.7688,20.125
2000-02-08,20.125,20.0625,19.0416,20.25,20.755,20.25
2000-02-09,20.25,20.125,19.0697,20.2375,20.7488,19.875
