ticker,F US Equity,F US Equity,F US Equity,F US Equity,F US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,50.315,50.6753,52.2451,50.8794,50.0536,48.6339
2000-01-04,48.6339,49.7747,52.2037,50.4832,49.9912,48.814
2000-01-05,48.814,48.9941,52.1746,50.0869,49.9287,48.874
2000-01-06,48.874,48.9941,52.1491,49.5705,49.8687,52.4765
2000-01-07,52.4765,50.4351,52.1311,49.8227,49.8903,51.5159
2000-01-10,51.5159,52.5966,52.1151,50.0629,49.8723,50.1349
2000-01-11,50.1349,50.4351,52.0914,50.3631,49.8207,51.5759
2000-01-12,51.5759,50.3751,52.0773,50.9155,49.8027,50.9755
2000-01-13,50.9755,52.2364,52.0599,51.3357,49.7774,49.7146
2000-01-14,49.7146,50.4952,52.0371,50.7834,49.739,52.1163
2000-01-18,52.1163,51.636,52.0176,50.9034,49.7618,51.3357
2000-01-19,51.3357,52.3565,51.9945,51.1436,49.757,49.8347
2000-01-20,49.8347,51.3958,51.9518,50.7954,49.7234,48.4537
2000-01-21,48.4537,49.8947,51.9017,50.291,49.6538,49.1142
2000-01-24,49.1142,49.7747,51.8564,50.1709,49.6033,48.1535
2000-01-25,48.1535,49.1742,51.8017,49.3784,49.5433,46.1121
2000-01-26,46.1121,47.1929,51.7288,48.3337,49.44,47.9734
2000-01-27,47.9734,47.373,51.6672,47.9614,49.3499,47.0728
2000-01-28,47.0728,47.1929,51.6009,47.6852,49.2419,47.7933
2000-01-31,47.7933,47.8533,51.5282,47.421,49.1866,47.8533
2000-02-01,47.8533,47.6732,51.4553,47.361,49.1686,46.7125
2000-02-02,46.7125,47.9734,51.382,47.4811,49.1338,46.8326
2000-02-03,46.8326,45.992,51.3088,47.2529,49.0966,46.1722
2000-02-04,46.1722,46.9527,51.2322,47.0728,49.0498,46.0521
2000-02-07,46.0521,46.5924,51.1563,46.7245,48.9802,46.2322
2000-02-08,46.2322,46.4724,51.0791,46.4003,48.9321,45.3316
