ticker,FOXA US Equity,FOXA US Equity,FOXA US Equity,FOXA US Equity,FOXA US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2019-03-12,38.0,38.0,,,,39.75
2019-03-13,39.75,39.0,,,,40.65
2019-03-14,40.65,39.75,,,,41.7
2019-03-15,41.7,41.38,,,,41.7
2019-03-18,41.7,41.95,40.36,,,40.34
2019-03-19,40.34,41.55,40.828,,,38.62
2019-03-20,38.62,40.49,40.602,,,40.02
2019-03-21,40.02,39.0,40.476,,,38.72
2019-03-22,38.72,39.93,39.88,,,37.44
2019-03-25,37.44,38.89,39.028,,,37.54
2019-03-26,37.54,37.65,38.468,,,36.92
2019-03-27,36.92,37.52,38.128,,,36.4
2019-03-28,36.4,36.85,37.404,,,36.71
2019-03-29,36.71,36.55,37.002,,,36.85
2019-04-01,36.85,36.91,36.884,,,36.28
2019-04-02,36.28,36.96,36.632,,,36.08
2019-04-03,36.08,36.37,36.464,,,36.76
2019-04-04,36.76,36.2,36.536,,,37.68
2019-04-05,37.68,36.79,36.73,,,37.47
2019-04-08,37.47,37.6,36.854,,,37.31
2019-04-09,37.31,37.42,37.06,,,36.48
2019-04-10,36.48,37.33,37.14,,,37.09
2019-04-11,37.09,36.57,37.206,,,37.53
2019-04-12,37.53,37.15,37.176,,,37.53
2019-04-15,37.53,37.46,37.188,,,37.75
2019-04-16,37.75,37.67,37.276,,,38.84
2019-04-17,38.84,37.87,37.748,,,38.44
2019-04-18,38.44,38.91,38.018,,,37.7
2019-04-22,37.7,38.36,38.052,,,38.08
2019-04-23,38.08,37.79,38.162,,,37.96
2019-04-24,37.96,37.95,38.204,,,38.15
2019-04-25,38.15,37.98,38.066,,,38.48
2019-04-26,38.48,38.08,38.074,,,39.2
2019-04-29,39.2,38.54,38.374,,,38.99
2019-04-30,38.99,39.19,38.556,,,39.4
2019-05-01,39.4,39.12,38.844,,,37.28
2019-05-02,37.28,39.23,38.67,,,37.47
2019-05-03,37.47,37.41,38.468,,,37.92
2019-05-06,37.92,37.17,38.212,,,37.26
2019-05-07,37.26,37.58,37.866,,,37.42
2019-05-08,37.42,37.34,37.47,,,38.5
2019-05-09,38.5,38.5,37.714,,,38.53
2019-05-10,38.53,38.64,37.926,,,37.97
2019-05-13,37.97,37.77,37.936,,,37.89
2019-05-14,37.89,38.05,38.062,,,37.71
2019-05-15,37.71,37.7,38.12,,,36.74
2019-05-16,36.74,37.91,37.768,,,37.32
2019-05-17,37.32,36.56,37.526,,,37.14
2019-05-20,37.14,37.18,37.36,,,37.69
2019-05-21,37.69,37.26,37.32,38.028,,37.12
2019-05-22,37.12,37.66,37.202,38.0104,,36.91
2019-05-23,36.91,36.82,37.236,37.9536,,36.92
2019-05-24,36.92,37.05,37.156,37.879,,36.64
2019-05-28,36.64,36.97,37.056,37.7778,,35.79
2019-05-29,35.79,36.5,36.676,37.6596,,35.22
2019-05-30,35.22,35.88,36.296,37.5572,,35.23
2019-05-31,35.23,34.97,35.96,37.4894,,34.24
2019-06-03,34.24,35.05,35.424,37.3738,,34.48
2019-06-04,34.48,34.52,34.992,37.289,,34.36
2019-06-05,34.36,34.62,34.706,37.2274,,34.12
2019-06-06,34.12,34.66,34.486,37.159,,34.01
2019-06-07,34.01,34.18,34.242,37.1008,,34.03
2019-06-10,34.03,34.05,34.2,37.0534,,34.18
2019-06-11,34.18,34.23,34.14,37.0028,,35.05
2019-06-12,35.05,34.2,34.278,36.9668,,35.29
2019-06-13,35.29,35.17,34.512,36.947,,35.24
2019-06-14,35.24,35.24,34.758,36.9302,,36.13
2019-06-17,36.13,35.42,35.178,36.9176,,36.19
2019-06-18,36.19,36.45,35.58,36.8878,,35.99
2019-06-19,35.99,36.26,35.768,36.8582,,35.58
2019-06-20,35.58,36.38,35.826,36.8236,,36.18
2019-06-21,36.18,35.61,36.014,36.8176,,35.8
2019-06-24,35.8,36.01,35.948,36.7918,,35.34
2019-06-25,35.34,35.78,35.778,36.748,,35.47
2019-06-26,35.47,35.79,35.674,36.7068,,35.99
2019-06-27,35.99,35.53,35.756,36.6716,,36.64
2019-06-28,36.64,35.98,35.848,36.6276,,35.92
2019-07-01,35.92,36.46,35.872,36.5772,,36.59
2019-07-02,36.59,36.01,36.122,36.555,,36.35
2019-07-03,36.35,36.6,36.298,36.5204,,36.6
2019-07-05,36.6,36.24,36.42,36.4932,,36.13
2019-07-08,36.13,36.53,36.318,36.4528,,36.02
2019-07-09,36.02,36.03,36.338,36.4036,,36.14
2019-07-10,36.14,36.19,36.248,36.3424,,36.29
2019-07-11,36.29,36.17,36.236,36.2884,,36.96
2019-07-12,36.96,36.46,36.308,36.2396,,37.01
2019-07-15,37.01,37.03,36.484,36.2342,,36.69
2019-07-16,36.69,36.93,36.618,36.2186,,36.17
2019-07-17,36.17,36.73,36.624,36.1836,,36.55
2019-07-18,36.55,36.17,36.676,36.1694,,36.43
2019-07-19,36.43,36.7,36.57,36.1496,,36.1
2019-07-22,36.1,36.51,36.388,36.1016,,36.22
