ticker,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2014-03-27,27.847,28.322,,,,27.923
2014-03-28,27.923,27.983,,,,27.772
2014-03-31,27.772,28.267,,,,28.28
2014-04-01,28.28,27.859,,,,28.272
2014-04-02,28.272,29.917,28.0189,,,28.409
2014-04-03,28.409,28.414,28.1314,,,27.083
2014-04-04,27.083,28.654,27.9633,,,26.834
2014-04-07,26.834,26.963,27.7756,,,27.669
2014-04-08,27.669,27.056,27.6534,,,28.13
2014-04-09,28.13,27.904,27.6248,,,26.973
2014-04-10,26.973,28.173,27.3377,,,26.457
2014-04-11,26.457,26.555,27.2127,,,26.553
2014-04-14,26.553,26.839,27.1565,,,26.749
2014-04-15,26.749,26.767,26.9724,,,27.751
2014-04-16,27.751,27.076,26.8966,,,26.732
2014-04-17,26.732,27.365,26.8483,,,26.359
2014-04-21,26.359,26.732,26.8285,,,26.667
2014-04-22,26.667,26.36,26.8514,,,26.275
2014-04-23,26.275,26.616,26.7566,,,26.186
2014-04-24,26.186,26.431,26.4437,,,25.738
2014-04-25,25.738,26.054,26.245,,,25.787
2014-04-28,25.787,25.788,26.1306,,,26.313
2014-04-29,26.313,25.774,26.0597,,,26.261
2014-04-30,26.261,26.308,26.0569,,,26.495
2014-05-01,26.495,26.283,26.1187,,,26.324
2014-05-02,26.324,26.615,26.2359,,,26.318
2014-05-05,26.318,26.169,26.3422,,,25.686
2014-05-06,25.686,26.19,26.2169,,,25.428
2014-05-07,25.428,25.719,26.0504,,,25.48
2014-05-08,25.48,25.353,25.8474,,,25.865
2014-05-09,25.865,25.468,25.7557,,,26.423
2014-05-12,26.423,26.104,25.7767,,,26.582
2014-05-13,26.582,26.472,25.9557,,,26.26
2014-05-14,26.26,26.577,26.1222,,,25.928
2014-05-15,25.928,26.213,26.2117,,,25.96
2014-05-16,25.96,25.998,26.2307,,,26.371
2014-05-19,26.371,25.914,26.2201,,,26.416
2014-05-20,26.416,26.414,26.187,,,26.873
2014-05-21,26.873,26.572,26.3096,,,27.178
2014-05-22,27.178,26.982,26.5597,,,27.559
2014-05-23,27.559,27.288,26.8795,,,28.22
2014-05-27,28.22,27.724,27.2494,,,28.007
2014-05-28,28.007,28.151,27.5676,,,27.927
2014-05-29,27.927,28.09,27.7784,,,27.918
2014-05-30,27.918,27.963,27.9263,,,27.621
2014-06-02,27.621,27.958,27.9386,,,27.172
2014-06-03,27.172,27.474,27.7291,,,27.158
2014-06-04,27.158,27.001,27.5593,,,27.619
2014-06-05,27.619,27.245,27.4977,,,27.74
2014-06-06,27.74,27.827,27.4622,26.911,,28.029
2014-06-09,28.029,27.781,27.5439,26.9147,,27.951
2014-06-10,27.951,27.949,27.6995,26.9152,,27.865
2014-06-11,27.865,27.824,27.8409,26.9171,,27.492
2014-06-12,27.492,27.789,27.8155,26.9013,,27.512
2014-06-13,27.512,27.537,27.7699,26.8861,,27.139
2014-06-16,27.139,27.388,27.592,26.8607,,27.076
2014-06-17,27.076,27.135,27.4171,26.8606,,27.593
2014-06-18,27.593,27.168,27.3626,26.8758,,27.669
2014-06-19,27.669,27.636,27.398,26.8758,,27.742
2014-06-20,27.742,27.766,27.4438,26.868,,28.17
2014-06-23,28.17,27.681,27.65,26.8919,,28.154
2014-06-24,28.154,28.182,27.8655,26.9259,,28.853
2014-06-25,28.853,28.186,28.1176,26.9719,,28.721
2014-06-26,28.721,28.97,28.328,27.0113,,28.783
2014-06-27,28.783,28.78,28.5362,27.032,,28.685
2014-06-30,28.685,28.854,28.6393,27.071,,29.054
2014-07-01,29.054,28.837,28.8193,27.1249,,29.037
2014-07-02,29.037,29.088,28.856,27.1723,,29.156
2014-07-03,29.156,29.088,28.9431,27.23,,29.033
2014-07-07,29.033,29.108,28.993,27.2869,,28.476
2014-07-08,28.476,28.804,28.9512,27.3417,,28.725
2014-07-09,28.725,28.501,28.8855,27.4004,,28.477
2014-07-10,28.477,28.218,28.7735,27.4437,,28.88
2014-07-11,28.88,28.517,28.7181,27.4961,,29.163
2014-07-14,29.163,29.05,28.7443,27.5495,,29.159
2014-07-15,29.159,29.207,28.8808,27.6062,,29.053
2014-07-16,29.053,29.319,28.9464,27.6609,,28.608
2014-07-17,28.608,28.897,28.9726,27.7193,,29.673
2014-07-18,29.673,29.569,29.1312,27.8042,,29.393
2014-07-21,29.393,29.506,29.1771,27.8824,,29.656
2014-07-22,29.656,29.455,29.2764,27.9582,,29.717
2014-07-23,29.717,29.58,29.4092,28.0241,,29.586
2014-07-24,29.586,29.741,29.6049,28.0842,,29.37
2014-07-25,29.37,29.439,29.5445,28.1464,,29.449
2014-07-28,29.449,29.323,29.5557,28.2168,,29.2
2014-07-29,29.2,29.357,29.4647,28.2816,,29.291
2014-07-30,29.291,29.247,29.3793,28.34,,28.502
2014-07-31,28.502,28.951,29.1624,28.3817,,28.226
2014-08-01,28.226,28.442,28.9335,28.4088,,28.579
