ticker,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2004-08-18,2.127,2.127,,,,2.511
2004-08-19,2.511,2.503,,,,2.71
2004-08-20,2.71,2.539,,,,2.738
2004-08-23,2.738,2.772,,,,2.624
2004-08-24,2.624,2.784,2.542,,,2.653
2004-08-25,2.653,2.627,2.6471,,,2.7
2004-08-26,2.7,2.626,2.6851,,,2.656
2004-08-27,2.656,2.705,2.6742,,,2.553
2004-08-30,2.553,2.64,2.6373,,,2.562
2004-08-31,2.562,2.56,2.6247,,,2.509
2004-09-01,2.509,2.57,2.596,,,2.54
2004-09-02,2.54,2.48,2.5639,,,2.503
2004-09-03,2.503,2.526,2.5332,,,2.542
2004-09-07,2.542,2.528,2.5311,,,2.56
2004-09-08,2.56,2.521,2.5307,,,2.56
2004-09-09,2.56,2.565,2.541,,,2.636
2004-09-10,2.636,2.542,2.5601,,,2.69
2004-09-13,2.69,2.668,2.5976,,,2.79
2004-09-14,2.79,2.689,2.6472,,,2.803
2004-09-15,2.803,2.767,2.6958,,,2.852
2004-09-16,2.852,2.811,2.7541,,,2.94
2004-09-17,2.94,2.863,2.815,,,2.987
2004-09-20,2.987,2.927,2.8743,,,2.949
2004-09-21,2.949,3.008,2.9061,,,2.962
2004-09-22,2.962,2.939,2.938,,,3.023
2004-09-23,3.023,2.974,2.9723,,,2.999
2004-09-24,2.999,3.027,2.984,,,2.959
2004-09-27,2.959,2.992,2.9785,,,3.175
2004-09-28,3.175,3.032,3.0237,,,3.28
2004-09-29,3.28,3.166,3.0872,,,3.243
2004-09-30,3.243,3.251,3.1312,,,3.318
2004-10-01,3.318,3.273,3.195,,,3.38
2004-10-04,3.38,3.399,3.2791,,,3.463
2004-10-05,3.463,3.37,3.3367,,,3.43
2004-10-06,3.43,3.445,3.3667,,,3.475
2004-10-07,3.475,3.417,3.413,,,3.447
2004-10-08,3.447,3.472,3.4388,,,3.385
2004-10-11,3.385,3.429,3.4398,,,3.438
2004-10-12,3.438,3.366,3.4349,,,3.526
2004-10-13,3.526,3.586,3.454,,,3.553
2004-10-14,3.553,3.529,3.4698,,,3.606
2004-10-15,3.606,3.627,3.5017,,,3.733
2004-10-18,3.733,3.583,3.5713,,,3.702
2004-10-19,3.702,3.766,3.6241,,,3.516
2004-10-20,3.516,3.702,3.622,,,3.738
2004-10-21,3.738,3.607,3.6589,,,4.315
2004-10-22,4.315,4.265,3.8007,,,4.69
2004-10-25,4.69,4.411,3.9921,,,4.549
2004-10-26,4.549,4.666,4.1615,,,4.654
2004-10-27,4.654,4.562,4.3892,3.125,,4.837
2004-10-28,4.837,4.67,4.609,3.1792,,4.771
2004-10-29,4.771,4.977,4.7001,3.2244,,4.906
2004-11-01,4.906,4.842,4.7433,3.2683,,4.876
2004-11-02,4.876,4.973,4.8087,3.3111,,4.796
2004-11-03,4.796,4.96,4.8372,3.3546,,4.622
2004-11-04,4.622,4.711,4.7942,3.394,,4.238
2004-11-05,4.238,4.554,4.6876,3.4247,,4.318
2004-11-08,4.318,4.277,4.5701,3.4579,,4.222
2004-11-09,4.222,4.357,4.4392,3.4913,,4.201
2004-11-10,4.201,4.271,4.32,3.5241,,4.58
2004-11-11,4.58,4.232,4.3116,3.5655,,4.554
2004-11-12,4.554,4.635,4.3749,3.6058,,4.626
2004-11-15,4.626,4.516,4.4365,3.6483,,4.318
2004-11-16,4.318,4.442,4.4558,3.6838,,4.317
2004-11-17,4.317,4.23,4.479,3.7189,,4.193
2004-11-18,4.193,4.264,4.4015,3.7516,,4.239
2004-11-19,4.239,4.231,4.3385,3.7836,,4.132
2004-11-22,4.132,4.22,4.2395,3.8125,,4.192
2004-11-23,4.192,4.202,4.2144,3.8405,,4.373
2004-11-24,4.373,4.375,4.2257,3.8719,,4.489
2004-11-26,4.489,4.399,4.285,3.9047,,4.531
2004-11-29,4.531,4.511,4.3433,3.9365,,4.554
2004-11-30,4.554,4.522,4.4278,3.9678,,4.503
2004-12-01,4.503,4.549,4.4901,3.9989,,4.489
2004-12-02,4.489,4.502,4.5133,4.0294,,4.514
2004-12-03,4.514,4.504,4.5183,4.0593,,4.412
2004-12-06,4.412,4.483,4.4945,4.0875,,4.29
2004-12-07,4.29,4.404,4.4417,4.1141,,4.254
2004-12-08,4.254,4.268,4.3918,4.1357,,4.34
2004-12-09,4.34,4.26,4.3619,4.1569,,4.295
2004-12-10,4.295,4.34,4.3181,4.1779,,4.265
2004-12-13,4.265,4.305,4.2889,4.1969,,4.472
2004-12-14,4.472,4.279,4.3252,4.2187,,4.499
2004-12-15,4.499,4.454,4.3742,4.2395,,4.416
2004-12-16,4.416,4.435,4.3895,4.2592,,4.506
2004-12-17,4.506,4.423,4.4316,4.2798,,4.63
2004-12-20,4.63,4.554,4.5046,4.3035,,4.598
2004-12-21,4.598,4.662,4.5299,4.3277,,4.662
2004-12-22,4.662,4.602,4.5625,4.3522,,4.702
