ticker,IQV US Equity,IQV US Equity,IQV US Equity,IQV US Equity,IQV US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2013-05-08,40.0,40.0,,,,42.11
2013-05-09,42.11,43.76,,,,42.39
2013-05-10,42.39,42.26,,,,43.32
2013-05-13,43.32,42.3,,,,44.43
2013-05-14,44.43,44.24,42.45,,,45.5
2013-05-15,45.5,45.2,43.55,,,45.85
2013-05-16,45.85,46.28,44.298,,,45.52
2013-05-17,45.52,46.13,44.924,,,45.38
2013-05-20,45.38,45.45,45.336,,,45.05
2013-05-21,45.05,45.0,45.46,,,44.65
2013-05-22,44.65,45.14,45.29,,,45.0
2013-05-23,45.0,44.03,45.12,,,45.03
2013-05-24,45.03,44.97,45.022,,,45.43
2013-05-28,45.43,45.73,45.032,,,44.47
2013-05-29,44.47,45.43,44.916,,,44.25
2013-05-30,44.25,44.5,44.836,,,44.04
2013-05-31,44.04,44.12,44.644,,,44.58
2013-06-03,44.58,44.02,44.554,,,43.19
2013-06-04,43.19,44.48,44.106,,,42.85
2013-06-05,42.85,43.0,43.782,,,43.23
2013-06-06,43.23,42.71,43.578,,,42.97
2013-06-07,42.97,43.41,43.364,,,43.64
2013-06-10,43.64,43.03,43.176,,,43.95
2013-06-11,43.95,43.21,43.328,,,43.0
2013-06-12,43.0,43.75,43.358,,,42.9
2013-06-13,42.9,42.85,43.292,,,43.09
2013-06-14,43.09,43.0,43.316,,,43.53
2013-06-17,43.53,43.3,43.294,,,43.89
2013-06-18,43.89,44.0,43.282,,,43.79
2013-06-19,43.79,43.66,43.44,,,43.34
2013-06-20,43.34,43.31,43.528,,,44.19
2013-06-21,44.19,43.41,43.748,,,43.32
2013-06-24,43.32,43.57,43.706,,,43.0
2013-06-25,43.0,43.54,43.528,,,42.02
2013-06-26,42.02,43.24,43.174,,,42.33
2013-06-27,42.33,42.17,42.972,,,42.56
2013-06-28,42.56,42.29,42.646,,,42.95
2013-07-01,42.95,42.56,42.572,,,43.06
2013-07-02,43.06,43.01,42.584,,,43.62
2013-07-03,43.62,42.99,42.904,,,43.24
2013-07-05,43.24,43.98,43.086,,,43.93
2013-07-08,43.93,43.06,43.36,,,43.69
2013-07-09,43.69,44.08,43.508,,,43.61
2013-07-10,43.61,43.9,43.618,,,43.27
2013-07-11,43.27,43.71,43.548,,,43.5
2013-07-12,43.5,43.19,43.6,,,43.65
2013-07-15,43.65,43.6,43.544,,,43.74
2013-07-16,43.74,43.65,43.554,,,43.83
2013-07-17,43.83,43.66,43.598,,,44.04
2013-07-18,44.04,43.88,43.752,43.6784,,44.07
2013-07-19,44.07,43.91,43.866,43.7598,,44.57
2013-07-22,44.57,44.0,44.05,43.809,,44.32
2013-07-23,44.32,44.5,44.166,43.8476,,43.52
2013-07-24,43.52,44.3,44.104,43.8516,,43.48
2013-07-25,43.48,43.39,43.992,43.8326,,43.27
2013-07-26,43.27,43.23,43.832,43.788,,43.47
2013-07-29,43.47,43.01,43.612,43.7404,,43.39
2013-07-30,43.39,43.41,43.426,43.6978,,44.85
2013-07-31,44.85,43.44,43.692,43.6872,,46.29
2013-08-01,46.29,46.71,44.254,43.712,,45.22
2013-08-02,45.22,46.49,44.644,43.7234,,45.33
2013-08-05,45.33,44.87,45.016,43.73,,45.95
2013-08-06,45.95,45.09,45.528,43.7484,,45.54
2013-08-07,45.54,45.9,45.666,43.7506,,45.38
2013-08-08,45.38,45.63,45.484,43.7688,,45.64
2013-08-09,45.64,45.31,45.568,43.7966,,45.58
2013-08-12,45.58,45.44,45.618,43.8274,,45.38
2013-08-13,45.38,45.52,45.504,43.8434,,45.3
2013-08-14,45.3,45.25,45.456,43.8856,,44.75
2013-08-15,44.75,45.0,45.33,43.9236,,44.16
2013-08-16,44.16,44.7,45.034,43.9422,,44.32
2013-08-19,44.32,44.6,44.782,43.9692,,44.29
2013-08-20,44.29,44.42,44.564,43.9822,,44.0
2013-08-21,44.0,44.21,44.304,43.9832,,43.66
2013-08-22,43.66,44.0,44.086,43.9964,,43.53
2013-08-23,43.53,43.66,43.96,44.009,,43.43
2013-08-26,43.43,43.55,43.782,44.0158,,43.12
2013-08-27,43.12,43.22,43.548,44.0076,,43.98
2013-08-28,43.98,43.05,43.544,44.0094,,43.9
2013-08-29,43.9,44.0,43.592,44.0116,,43.26
2013-08-30,43.26,43.89,43.538,44.01,,43.1
2013-09-03,43.1,43.48,43.472,43.9882,,43.23
2013-09-04,43.23,43.05,43.494,43.9864,,43.19
2013-09-05,43.19,43.21,43.336,43.9902,,42.82
2013-09-06,42.82,43.14,43.12,44.0062,,43.15
2013-09-09,43.15,42.82,43.098,44.0226,,43.77
2013-09-10,43.77,43.15,43.232,44.0468,,43.73
2013-09-11,43.73,43.77,43.332,44.0624,,44.47
2013-09-12,44.47,43.81,43.588,44.0906,,44.37
2013-09-13,44.37,44.44,43.898,44.1056,,44.45
2013-09-16,44.45,44.54,44.158,44.1298,,44.77
2013-09-17,44.77,44.94,44.358,44.1466,,45.09
