ticker,KEYS US Equity,KEYS US Equity,KEYS US Equity,KEYS US Equity,KEYS US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2014-10-20,28.25,27.9,,,,28.31
2014-10-21,28.31,28.49,,,,28.75
2014-10-22,28.75,28.47,,,,29.25
2014-10-23,29.25,28.75,,,,29.75
2014-10-24,29.75,29.11,28.862,,,30.1
2014-10-27,30.1,29.85,29.232,,,30.65
2014-10-28,30.65,30.3,29.7,,,30.0
2014-10-29,30.0,30.65,29.95,,,30.25
2014-10-30,30.25,30.15,30.15,,,31.5
2014-10-31,31.5,30.25,30.5,,,31.15
2014-11-03,31.15,30.61,30.71,,,30.16
2014-11-04,30.16,30.75,30.612,,,30.18
2014-11-05,30.18,30.67,30.648,,,30.05
2014-11-06,30.05,30.2,30.608,,,29.76
2014-11-07,29.76,29.49,30.26,,,29.78
2014-11-10,29.78,29.03,29.986,,,30.04
2014-11-11,30.04,29.42,29.962,,,30.83
2014-11-12,30.83,30.4,30.092,,,30.41
2014-11-13,30.41,30.74,30.164,,,30.7
2014-11-14,30.7,30.29,30.352,,,31.05
2014-11-17,31.05,30.7,30.606,,,31.0
2014-11-18,31.0,30.59,30.798,,,30.97
2014-11-19,30.97,30.72,30.826,,,31.41
2014-11-20,31.41,30.77,31.026,,,32.3
2014-11-21,32.3,31.65,31.346,,,33.0
2014-11-24,33.0,32.88,31.736,,,32.85
2014-11-25,32.85,32.97,32.106,,,34.2
2014-11-26,34.2,33.0,32.752,,,35.2
2014-11-28,35.2,33.94,33.51,,,34.9
2014-12-01,34.9,35.01,34.03,,,34.78
2014-12-02,34.78,34.73,34.386,,,34.31
2014-12-03,34.31,34.51,34.678,,,34.14
2014-12-04,34.14,33.89,34.666,,,34.1
2014-12-05,34.1,34.24,34.446,,,34.19
2014-12-08,34.19,34.1,34.304,,,33.75
2014-12-09,33.75,33.2,34.098,,,33.47
2014-12-10,33.47,33.87,33.93,,,33.49
2014-12-11,33.49,33.5,33.8,,,32.86
2014-12-12,32.86,33.48,33.552,,,32.88
2014-12-15,32.88,32.91,33.29,,,32.89
2014-12-16,32.89,32.52,33.118,,,33.83
2014-12-17,33.83,32.82,33.19,,,34.11
2014-12-18,34.11,34.0,33.314,,,33.98
2014-12-19,33.98,34.11,33.538,,,33.94
2014-12-22,33.94,33.9,33.75,,,33.63
2014-12-23,33.63,33.93,33.898,,,33.8
2014-12-24,33.8,33.65,33.892,,,33.73
2014-12-26,33.73,33.94,33.816,,,33.91
2014-12-29,33.91,33.57,33.802,,,33.88
2014-12-30,33.88,33.8,33.79,32.0484,,33.77
2014-12-31,33.77,33.87,33.818,32.1588,,33.42
2015-01-02,33.42,33.81,33.742,32.261,,33.54
2015-01-05,33.54,33.05,33.704,32.3568,,33.61
2015-01-06,33.61,33.65,33.644,32.444,,33.88
2015-01-07,33.88,33.67,33.644,32.5266,,34.12
2015-01-08,34.12,34.0,33.714,32.607,,33.96
2015-01-09,33.96,34.04,33.822,32.6732,,34.46
2015-01-12,34.46,33.9,34.006,32.7624,,34.69
2015-01-13,34.69,34.44,34.222,32.8512,,34.93
2015-01-14,34.93,34.29,34.432,32.9198,,34.47
2015-01-15,34.47,34.92,34.502,32.9862,,34.96
2015-01-16,34.96,34.26,34.702,33.0822,,34.92
2015-01-20,34.92,34.68,34.794,33.177,,35.74
2015-01-21,35.74,34.66,35.004,33.2908,,35.78
2015-01-22,35.78,35.67,35.174,33.4112,,34.87
2015-01-23,34.87,35.73,35.254,33.513,,34.33
2015-01-26,34.33,34.76,35.128,33.5988,,33.73
2015-01-27,33.73,34.08,34.89,33.6568,,33.34
2015-01-28,33.34,33.76,34.41,33.7154,,33.68
2015-01-29,33.68,33.48,33.99,33.775,,33.39
2015-01-30,33.39,33.4,33.694,33.8218,,34.33
2015-02-02,34.33,33.44,33.694,33.8884,,34.05
2015-02-03,34.05,34.32,33.758,33.95,,34.21
2015-02-04,34.21,34.05,33.932,34.006,,34.61
2015-02-05,34.61,34.19,34.118,34.0522,,35.08
2015-02-06,35.08,34.57,34.456,34.0938,,34.97
2015-02-09,34.97,35.0,34.584,34.1362,,35.76
2015-02-10,35.76,35.07,34.926,34.1674,,35.57
2015-02-11,35.57,35.75,35.198,34.1748,,36.22
2015-02-12,36.22,35.8,35.52,34.2012,,36.49
2015-02-13,36.49,36.15,35.802,34.2354,,36.52
2015-02-17,36.52,36.5,36.112,34.2796,,36.5
2015-02-18,36.5,36.36,36.26,34.3268,,37.31
2015-02-19,37.31,36.38,36.608,34.391,,37.3
2015-02-20,37.3,37.09,36.824,34.4532,,36.69
2015-02-23,36.69,37.16,36.864,34.512,,37.59
2015-02-24,37.59,36.67,37.078,34.5944,,37.3
2015-02-25,37.3,37.64,37.238,34.6706,,37.44
2015-02-26,37.44,37.26,37.264,34.7622,,37.54
2015-02-27,37.54,37.33,37.312,34.8554,,37.88
2015-03-02,37.88,37.08,37.55,34.9552,,37.53
2015-03-03,37.53,37.75,37.538,35.0292,,37.68
