ticker,MKC US Equity,MKC US Equity,MKC US Equity,MKC US Equity,MKC US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,6.9844,7.5,7.8859,7.2906,7.8659,7.0781
2000-01-04,7.0781,6.9688,7.8851,7.2375,7.8406,7.1406
2000-01-05,7.1406,7.0156,7.8849,7.2125,7.8184,7.0469
2000-01-06,7.0469,7.0781,7.8828,7.1375,7.7938,7.0156
2000-01-07,7.0156,7.0156,7.8806,7.0531,7.7725,6.7031
2000-01-10,6.7031,6.9531,7.877,6.9969,7.7466,6.6563
2000-01-11,6.6563,6.7188,7.8736,6.9125,7.7228,6.6563
2000-01-12,6.6563,6.5938,7.8707,6.8156,7.6994,6.8125
2000-01-13,6.8125,6.7188,7.8685,6.7688,7.6731,6.875
2000-01-14,6.875,6.8438,7.8666,6.7406,7.6456,6.5
2000-01-18,6.5,6.875,7.8624,6.7,7.6109,6.3594
2000-01-19,6.3594,6.5,7.858,6.6406,7.5709,6.2813
2000-01-20,6.2813,6.3438,7.8533,6.5656,7.5256,6.25
2000-01-21,6.25,6.3438,7.8478,6.4531,7.4822,6.0313
2000-01-24,6.0313,6.2188,7.8409,6.2844,7.4372,6.0156
2000-01-25,6.0156,6.0625,7.8348,6.1875,7.3928,6.1563
2000-01-26,6.1563,6.0625,7.8297,6.1469,7.3528,6.3438
2000-01-27,6.3438,6.3438,7.8252,6.1594,7.3181,6.4688
2000-01-28,6.4688,6.3125,7.8213,6.2031,7.2816,6.6094
2000-01-31,6.6094,6.4375,7.8182,6.3188,7.2469,6.5469
2000-02-01,6.5469,6.625,7.8147,6.425,7.2116,6.1875
2000-02-02,6.1875,6.5,7.8092,6.4313,7.17,6.5
2000-02-03,6.5,6.3125,7.8045,6.4625,7.1334,6.8125
2000-02-04,6.8125,6.5938,7.8017,6.5313,7.1063,6.6094
2000-02-07,6.6094,6.7656,7.7982,6.5313,7.0781,6.75
2000-02-08,6.75,6.5938,7.7941,6.5719,7.0538,6.7656
