ticker,MKTX US Equity,MKTX US Equity,MKTX US Equity,MKTX US Equity,MKTX US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2004-11-04,11.0,11.0,,,,17.49
2004-11-05,17.49,12.75,,,,18.7
2004-11-08,18.7,17.13,,,,18.57
2004-11-09,18.57,18.74,,,,20.15
2004-11-10,20.15,18.35,17.182,,,21.0
2004-11-11,21.0,20.7,19.182,,,21.4
2004-11-12,21.4,22.149,19.964,,,21.61
2004-11-15,21.61,21.651,20.546,,,22.2
2004-11-16,22.2,22.19,21.272,,,22.0
2004-11-17,22.0,21.8,21.642,,,20.84
2004-11-18,20.84,21.81,21.61,,,21.5
2004-11-19,21.5,20.8,21.63,,,22.22
2004-11-22,22.22,21.13,21.752,,,21.19
2004-11-23,21.19,22.85,21.55,,,21.05
2004-11-24,21.05,21.5,21.36,,,20.999
2004-11-26,20.999,21.15,21.3918,,,20.23
2004-11-29,20.23,21.7,21.1378,,,19.6
2004-11-30,19.6,20.425,20.6138,,,20.04
2004-12-01,20.04,19.89,20.3838,,,21.64
2004-12-02,21.64,20.0,20.5018,,,21.44
2004-12-03,21.44,21.65,20.59,,,20.5
2004-12-06,20.5,21.66,20.644,,,19.44
2004-12-07,19.44,20.99,20.612,,,19.4
2004-12-08,19.4,19.4,20.484,,,20.0
2004-12-09,20.0,19.45,20.156,,,20.41
2004-12-10,20.41,20.2,19.95,,,19.4
2004-12-13,19.4,20.16,19.73,,,18.29
2004-12-14,18.29,19.4,19.5,,,17.21
2004-12-15,17.21,18.25,19.062,,,16.09
2004-12-16,16.09,17.03,18.28,,,15.93
2004-12-17,15.93,16.24,17.384,,,16.12
2004-12-20,16.12,16.25,16.728,,,16.97
2004-12-21,16.97,16.05,16.464,,,16.941
2004-12-22,16.941,17.15,16.4102,,,17.19
2004-12-23,17.19,16.99,16.6302,,,16.98
2004-12-27,16.98,17.19,16.8402,,,16.91
2004-12-28,16.91,17.05,16.9982,,,16.76
2004-12-29,16.76,16.75,16.9562,,,17.18
2004-12-30,17.18,16.94,17.004,,,17.01
2004-12-31,17.01,17.13,16.968,,,15.951
2005-01-03,15.951,16.75,16.7622,,,15.56
2005-01-04,15.56,16.15,16.4922,,,15.6
2005-01-05,15.6,15.42,16.2602,,,15.28
2005-01-06,15.28,15.501,15.8802,,,15.5
2005-01-07,15.5,15.25,15.5782,,,15.5
2005-01-10,15.5,15.5,15.488,,,15.92
2005-01-11,15.92,15.5,15.56,,,15.88
2005-01-12,15.88,15.796,15.616,,,15.08
2005-01-13,15.08,15.5,15.576,,,15.2
2005-01-14,15.2,14.95,15.516,18.3814,,14.99
2005-01-18,14.99,15.35,15.414,18.4612,,14.93
2005-01-19,14.93,15.1,15.216,18.41,,14.68
2005-01-20,14.68,14.7,14.976,18.3296,,14.54
2005-01-21,14.54,14.46,14.868,18.249,,14.1
2005-01-24,14.1,14.15,14.648,18.128,,14.4
2005-01-25,14.4,14.22,14.53,17.996,,14.35
2005-01-26,14.35,14.58,14.414,17.855,,14.22
2005-01-27,14.22,14.25,14.322,17.7072,,14.23
2005-01-28,14.23,14.15,14.26,17.5478,,13.98
2005-01-31,13.98,14.1,14.236,17.3874,,13.96
2005-02-01,13.96,13.86,14.148,17.2498,,13.82
2005-02-02,13.82,13.95,14.042,17.0962,,12.09
2005-02-03,12.09,13.6,13.616,16.8936,,11.5
2005-02-04,11.5,11.99,13.07,16.6998,,11.4
2005-02-07,11.4,11.25,12.554,16.5068,,11.35
2005-02-08,11.35,11.31,12.032,16.3138,,11.97
2005-02-09,11.97,12.6,11.662,16.1486,,12.5
2005-02-10,12.5,12.79,11.744,16.0066,,12.48
2005-02-11,12.48,12.73,11.94,15.8554,,12.2
2005-02-14,12.2,12.55,12.1,15.6666,,13.05
2005-02-15,13.05,12.1,12.44,15.4988,,13.7
2005-02-16,13.7,13.45,12.786,15.3628,,12.94
2005-02-17,12.94,13.88,12.874,15.2328,,13.16
2005-02-18,13.16,13.13,13.01,15.108,,13.0
2005-02-22,13.0,13.3,13.17,14.968,,12.81
2005-02-23,12.81,13.14,13.122,14.816,,12.64
2005-02-24,12.64,12.75,12.91,14.6808,,12.481
2005-02-25,12.481,12.45,12.8182,14.5647,,11.85
2005-02-28,11.85,12.57,12.5562,14.4575,,11.998
2005-03-01,11.998,12.15,12.3558,14.3756,,12.0
2005-03-02,12.0,12.0,12.1938,14.297,,11.429
2005-03-03,11.429,11.79,11.9516,14.2032,,11.43
2005-03-04,11.43,11.351,11.7414,14.0924,,11.4
2005-03-07,11.4,11.5,11.6514,13.9816,,11.11
2005-03-08,11.11,11.34,11.4738,13.86,,11.06
2005-03-09,11.06,10.98,11.2858,13.7416,,11.22
2005-03-10,11.22,11.061,11.244,13.6278,,11.04
2005-03-11,11.04,11.13,11.166,13.5134,,11.2
2005-03-14,11.2,11.0,11.126,13.3938,,10.99
2005-03-15,10.99,11.31,11.102,13.2734,,11.0
2005-03-16,11.0,10.89,11.09,13.1744,,10.95
