ticker,MOH US Equity,MOH US Equity,MOH US Equity,MOH US Equity,MOH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2003-07-01,11.6667,11.6667,,,,13.3333
2003-07-02,13.3333,14.0,,,,13.7333
2003-07-03,13.7333,13.5667,,,,14.3333
2003-07-07,14.3333,13.7333,,,,14.6333
2003-07-08,14.6333,14.8,13.54,,,15.0
2003-07-09,15.0,14.6333,14.2067,,,15.0
2003-07-10,15.0,15.0,14.54,,,14.6667
2003-07-11,14.6667,14.9,14.7267,,,15.0467
2003-07-14,15.0467,14.6667,14.8693,,,15.3333
2003-07-15,15.3333,15.0,15.0093,,,15.3133
2003-07-16,15.3133,15.4,15.072,,,15.4667
2003-07-17,15.4667,15.3,15.1653,,,15.7
2003-07-18,15.7,15.5,15.372,,,15.9267
2003-07-21,15.9267,15.7333,15.548,,,16.1667
2003-07-22,16.1667,15.9333,15.7147,,,16.4667
2003-07-23,16.4667,16.3333,15.9453,,,16.0667
2003-07-24,16.0667,16.8667,16.0653,,,16.0333
2003-07-25,16.0333,16.2333,16.132,,,16.0933
2003-07-28,16.0933,16.0667,16.1653,,,16.0
2003-07-29,16.0,16.0933,16.132,,,16.6667
2003-07-30,16.6667,16.0,16.172,,,15.8
2003-07-31,15.8,16.8333,16.1187,,,15.5867
2003-08-01,15.5867,15.7333,16.0293,,,15.3333
2003-08-04,15.3333,15.5333,15.8773,,,15.2667
2003-08-05,15.2667,15.2,15.7307,,,14.7
2003-08-06,14.7,15.2667,15.3373,,,14.9667
2003-08-07,14.9667,14.6733,15.1707,,,15.3
2003-08-08,15.3,14.9667,15.1133,,,14.8667
2003-08-11,14.8667,15.2667,15.02,,,14.4
2003-08-12,14.4,15.1333,14.8467,,,14.3267
2003-08-13,14.3267,14.5667,14.772,,,14.2333
2003-08-14,14.2333,14.3,14.6253,,,14.3667
2003-08-15,14.3667,14.2667,14.4387,,,14.8667
2003-08-18,14.8667,14.4,14.4387,,,15.4333
2003-08-19,15.4333,15.0333,14.6453,,,15.7333
2003-08-20,15.7333,15.5,14.9267,,,15.8667
2003-08-21,15.8667,15.8333,15.2533,,,15.9667
2003-08-22,15.9667,16.1,15.5733,,,16.0
2003-08-25,16.0,15.9667,15.8,,,15.6667
2003-08-26,15.6667,15.9333,15.8467,,,15.9333
2003-08-27,15.9333,15.6333,15.8867,,,15.8667
2003-08-28,15.8667,16.0,15.8867,,,15.8333
2003-08-29,15.8333,15.8,15.86,,,15.5333
2003-09-02,15.5333,15.8333,15.7667,,,14.8133
2003-09-03,14.8133,15.5333,15.596,,,14.9867
2003-09-04,14.9867,15.6667,15.4067,,,15.26
2003-09-05,15.26,14.98,15.2853,,,16.0333
2003-09-08,16.0333,15.3333,15.3253,,,16.2867
2003-09-09,16.2867,16.0667,15.476,,,16.3133
2003-09-10,16.3133,16.3,15.776,15.2837,,16.1
2003-09-11,16.1,16.32,15.9987,15.3724,,16.7333
2003-09-12,16.7333,16.1067,16.2933,15.4404,,17.5
2003-09-15,17.5,16.8533,16.5867,15.5157,,16.6667
2003-09-16,16.6667,17.5,16.6627,15.5624,,16.7333
2003-09-17,16.7333,16.8333,16.7467,15.6044,,16.6667
2003-09-18,16.6667,16.6867,16.86,15.6377,,16.66
2003-09-19,16.66,16.7333,16.8453,15.6709,,16.66
2003-09-22,16.66,16.7,16.6773,15.7108,,16.82
2003-09-23,16.82,16.6667,16.708,15.7463,,16.7667
2003-09-24,16.7667,16.9333,16.7147,15.7749,,16.8
2003-09-25,16.8,16.7667,16.7413,15.8047,,16.08
2003-09-26,16.08,16.7667,16.6253,15.8169,,16.4
2003-09-29,16.4,16.1333,16.5733,15.8309,,18.5
2003-09-30,18.5,16.3667,16.9093,15.8824,,17.9267
2003-10-01,17.9267,18.4333,17.1413,15.9176,,17.8
2003-10-02,17.8,17.9333,17.3413,15.9443,,18.3667
2003-10-03,18.3667,17.9,17.7987,15.9903,,18.6933
2003-10-06,18.6933,18.4333,18.2573,16.0435,,17.9333
2003-10-07,17.9333,18.6,18.144,16.0803,,18.0667
2003-10-08,18.0667,18.1,18.172,16.1216,,18.4933
2003-10-09,18.4933,18.0133,18.3107,16.1581,,17.9333
2003-10-10,17.9333,18.56,18.224,16.2008,,18.5
2003-10-13,18.5,17.8667,18.1853,16.2591,,18.3333
2003-10-14,18.3333,18.5,18.2653,16.3191,,18.1667
2003-10-15,18.1667,18.4333,18.2853,16.3771,,17.8
2003-10-16,17.8,18.0,18.1467,16.4391,,17.9933
2003-10-17,17.9933,18.0333,18.1587,16.4996,,18.0333
2003-10-20,18.0333,17.8667,18.0653,16.5543,,18.84
2003-10-21,18.84,18.04,18.1667,16.6337,,18.5667
2003-10-22,18.5667,18.8533,18.2467,16.7171,,18.7667
2003-10-23,18.7667,18.6,18.44,16.8059,,18.8333
2003-10-24,18.8333,18.8333,18.608,16.8979,,18.7467
2003-10-27,18.7467,18.9,18.7507,16.9855,,19.2
2003-10-28,19.2,18.8333,18.8227,17.0721,,19.3333
