ticker,MSCI US Equity,MSCI US Equity,MSCI US Equity,MSCI US Equity,MSCI US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2007-11-14,18.0,18.0,,,,24.97
2007-11-15,24.97,23.0,,,,24.96
2007-11-16,24.96,25.3,,,,25.75
2007-11-19,25.75,24.71,,,,27.32
2007-11-20,27.32,25.42,24.2,,,26.65
2007-11-21,26.65,27.0,25.93,,,27.4
2007-11-23,27.4,27.3,26.416,,,27.8
2007-11-26,27.8,27.99,26.984,,,26.98
2007-11-27,26.98,28.23,27.23,,,27.3
2007-11-28,27.3,27.12,27.226,,,27.3
2007-11-29,27.3,26.61,27.356,,,27.65
2007-11-30,27.65,27.6,27.406,,,27.97
2007-12-03,27.97,27.7,27.44,,,29.35
2007-12-04,29.35,27.71,27.914,,,29.28
2007-12-05,29.28,32.68,28.31,,,28.91
2007-12-06,28.91,29.0,28.632,,,28.88
2007-12-07,28.88,29.06,28.878,,,29.0
2007-12-10,29.0,28.59,29.084,,,29.0
2007-12-11,29.0,28.99,29.014,,,28.48
2007-12-12,28.48,29.36,28.854,,,28.94
2007-12-13,28.94,27.93,28.86,,,28.72
2007-12-14,28.72,28.83,28.828,,,27.98
2007-12-17,27.98,27.94,28.624,,,28.5
2007-12-18,28.5,28.0,28.524,,,28.95
2007-12-19,28.95,28.56,28.618,,,28.89
2007-12-20,28.89,28.95,28.608,,,33.72
2007-12-21,33.72,29.5,29.608,,,33.92
2007-12-24,33.92,33.6,30.796,,,34.35
2007-12-26,34.35,33.92,31.966,,,36.55
2007-12-27,36.55,34.35,33.486,,,37.32
2007-12-28,37.32,36.45,35.172,,,38.4
2007-12-31,38.4,37.45,36.108,,,33.85
2008-01-02,33.85,37.82,36.094,,,30.79
2008-01-03,30.79,33.85,35.382,,,30.15
2008-01-04,30.15,28.74,34.102,,,28.14
2008-01-07,28.14,29.75,32.266,,,26.63
2008-01-08,26.63,28.0,29.912,,,27.76
2008-01-09,27.76,27.3,28.694,,,29.64
2008-01-10,29.64,29.3,28.464,,,30.43
2008-01-11,30.43,29.42,28.52,,,30.5
2008-01-14,30.5,30.1,28.992,,,30.71
2008-01-15,30.71,30.5,29.808,,,29.3
2008-01-16,29.3,30.76,30.116,,,28.99
2008-01-17,28.99,29.45,29.986,,,29.32
2008-01-18,29.32,29.71,29.764,,,28.9
2008-01-22,28.9,28.15,29.444,,,31.16
2008-01-23,31.16,28.98,29.534,,,32.17
2008-01-24,32.17,30.78,30.108,,,31.78
2008-01-25,31.78,32.4,30.666,,,33.06
2008-01-28,33.06,31.3,31.414,29.4494,,32.78
2008-01-29,32.78,32.665,32.19,29.745,,32.7
2008-01-30,32.7,32.77,32.498,29.8996,,32.97
2008-01-31,32.97,32.5,32.658,30.0598,,34.6
2008-02-01,34.6,32.97,33.222,30.2368,,33.48
2008-02-04,33.48,34.6,33.306,30.36,,32.87
2008-02-05,32.87,33.48,33.324,30.4844,,31.37
2008-02-06,31.37,32.7,33.058,30.5638,,29.71
2008-02-07,29.71,31.4,32.406,30.602,,31.33
2008-02-08,31.33,30.15,31.752,30.689,,31.43
2008-02-11,31.43,31.35,31.342,30.7716,,31.3
2008-02-12,31.3,31.25,31.028,30.8516,,33.83
2008-02-13,33.83,31.2,31.52,30.9752,,33.28
2008-02-14,33.28,33.59,32.234,31.0814,,31.74
2008-02-15,31.74,33.28,32.316,31.1292,,32.1
2008-02-19,32.1,31.7,32.45,31.1856,,32.21
2008-02-20,32.21,31.84,32.632,31.2516,,33.6
2008-02-21,33.6,32.3,32.586,31.346,,33.73
2008-02-22,33.73,33.5,32.676,31.4406,,33.09
2008-02-25,33.09,33.75,32.946,31.5224,,33.92
2008-02-26,33.92,33.34,33.31,31.6312,,32.0
2008-02-27,32.0,33.75,33.268,31.6924,,31.09
2008-02-28,31.09,32.55,32.766,31.7398,,29.73
2008-02-29,29.73,32.36,31.966,31.7748,,29.07
2008-03-03,29.07,29.5,31.162,31.7862,,29.36
2008-03-04,29.36,27.82,30.25,31.7944,,31.65
2008-03-05,31.65,29.92,30.18,31.8496,,29.86
2008-03-06,29.86,31.64,29.934,31.7724,,28.26
2008-03-07,28.26,29.76,29.64,31.6592,,27.01
2008-03-10,27.01,28.39,29.228,31.5124,,30.29
2008-03-11,30.29,27.49,29.414,31.3872,,29.83
2008-03-12,29.83,30.06,29.05,31.2374,,29.94
2008-03-13,29.94,29.6,29.066,31.0682,,26.86
2008-03-14,26.86,29.94,28.786,30.9284,,23.57
2008-03-17,23.57,26.33,28.098,30.784,,27.0
2008-03-18,27.0,25.78,27.44,30.721,,26.69
2008-03-19,26.69,26.62,26.812,30.692,,28.21
2008-03-20,28.21,26.44,26.466,30.7236,,30.07
2008-03-24,30.07,28.36,27.108,30.7698,,30.39
2008-03-25,30.39,29.74,28.472,30.7848,,29.41
2008-03-26,29.41,30.49,28.954,30.7644,,29.7
2008-03-27,29.7,29.7,29.556,30.7484,,31.25
2008-03-28,31.25,29.6,30.164,30.7592,,29.75
