ticker,POOL US Equity,POOL US Equity,POOL US Equity,POOL US Equity,POOL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,5.1975,5.2593,4.2718,5.163,4.7598,5.0988
2000-01-04,5.0988,5.1358,4.2848,5.1506,4.7731,5.0988
2000-01-05,5.0988,5.0864,4.298,5.1309,4.7864,4.8642
2000-01-06,4.8642,5.0988,4.3097,5.0765,4.7946,4.8395
2000-01-07,4.8395,4.8889,4.3208,5.0198,4.8017,4.8765
2000-01-10,4.8765,4.8148,4.3319,4.9556,4.8101,4.8148
2000-01-11,4.8148,4.8148,4.3422,4.8988,4.8168,4.6667
2000-01-12,4.6667,4.8272,4.3517,4.8123,4.821,4.5185
2000-01-13,4.5185,4.7778,4.3605,4.7432,4.822,4.7901
2000-01-14,4.7901,4.4691,4.3705,4.7333,4.8289,4.7654
2000-01-18,4.7654,4.7531,4.3801,4.7111,4.8328,4.6667
2000-01-19,4.6667,4.7407,4.3893,4.6815,4.8346,4.642
2000-01-20,4.642,4.6914,4.3981,4.6765,4.8351,4.642
2000-01-21,4.642,4.5617,4.407,4.7012,4.8358,4.9259
2000-01-24,4.9259,4.642,4.4173,4.7284,4.8405,4.9012
2000-01-25,4.9012,4.9136,4.4276,4.7556,4.836,5.1111
2000-01-26,5.1111,5.0247,4.4391,4.8444,4.8398,5.2099
2000-01-27,5.2099,5.1358,4.4506,4.958,4.8516,5.1358
2000-01-28,5.1358,5.1605,4.4618,5.0568,4.8625,5.1235
2000-01-31,5.1235,5.1111,4.4731,5.0963,4.8746,5.0864
2000-02-01,5.0864,5.0988,4.4843,5.1333,4.8825,5.1358
2000-02-02,5.1358,5.0988,4.4952,5.1383,4.8936,5.0741
2000-02-03,5.0741,5.1605,4.5035,5.1111,4.9032,5.284
2000-02-04,5.284,5.1111,4.5122,5.1407,4.9165,5.2346
2000-02-07,5.2346,5.2346,4.5205,5.163,4.923,5.4321
2000-02-08,5.4321,5.3333,4.5299,5.2321,4.9358,5.3086
