ticker,PWR US Equity,PWR US Equity,PWR US Equity,PWR US Equity,PWR US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,18.7917,18.8333,20.0283,18.7333,19.2358,18.75
2000-01-04,18.75,18.625,20.0362,18.7417,19.2733,19.0417
2000-01-05,19.0417,18.5833,20.0477,18.8167,19.32,18.6615
2000-01-06,18.6615,18.9583,20.0598,18.8156,19.3507,18.5833
2000-01-07,18.5833,19.0833,20.0762,18.7656,19.3449,18.7083
2000-01-10,18.7083,18.5,20.0931,18.749,19.3332,19.5417
2000-01-11,19.5417,18.875,20.1121,18.9073,19.3524,19.8333
2000-01-12,19.8333,19.625,20.1327,19.0656,19.3832,19.9167
2000-01-13,19.9167,19.9167,20.1475,19.3167,19.4166,20.25
2000-01-14,20.25,20.0,20.165,19.65,19.4466,19.5417
2000-01-18,19.5417,20.2083,20.1806,19.8167,19.4124,19.875
2000-01-19,19.875,19.5,20.1981,19.8833,19.3874,24.0417
2000-01-20,24.0417,23.25,20.2375,20.725,19.4407,23.5
2000-01-21,23.5,24.2083,20.2754,21.4417,19.4841,23.5
2000-01-24,23.5,23.6667,20.3116,22.0917,19.5374,23.7917
2000-01-25,23.7917,23.5833,20.35,22.9417,19.6007,23.7917
2000-01-26,23.7917,23.75,20.3864,23.725,19.6649,22.75
2000-01-27,22.75,23.8333,20.4162,23.4667,19.7282,22.4167
2000-01-28,22.4167,22.75,20.4389,23.25,19.7799,21.8333
2000-01-31,21.8333,22.25,20.4543,22.9167,19.8049,22.375
2000-02-01,22.375,21.75,20.4766,22.6333,19.8391,23.25
2000-02-02,23.25,22.4167,20.4941,22.525,19.8907,23.375
2000-02-03,23.375,23.2083,20.5118,22.65,19.9466,22.75
2000-02-04,22.75,23.4583,20.5275,22.7167,20.0132,23.0
2000-02-07,23.0,22.8333,20.5462,22.95,20.0899,23.9167
2000-02-08,23.9167,23.0417,20.5729,23.2583,20.1832,24.4167
2000-02-09,24.4167,24.0,20.6085,23.4917,20.2882,24.0
