ticker,RF US Equity,RF US Equity,RF US Equity,RF US Equity,RF US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,19.0345,20.452,27.2177,19.7432,22.322,18.4776
2000-01-04,18.4776,19.0851,27.159,19.6521,22.2435,18.3764
2000-01-05,18.3764,18.427,27.1023,19.2876,22.1615,18.427
2000-01-06,18.427,18.1233,27.0468,18.9333,22.0866,18.6295
2000-01-07,18.6295,18.4776,26.9939,18.589,21.9975,17.8195
2000-01-10,17.8195,18.9333,26.9393,18.346,21.8649,18.1233
2000-01-11,18.1233,18.022,26.8854,18.2751,21.7403,18.427
2000-01-12,18.427,18.2751,26.8342,18.2853,21.6199,19.1358
2000-01-13,19.1358,18.4776,26.7897,18.427,21.5075,19.5407
2000-01-14,19.5407,19.1864,26.7468,18.6093,21.4082,19.4901
2000-01-18,19.4901,19.4901,26.7026,18.9434,21.2969,19.6926
2000-01-19,19.6926,19.5407,26.6594,19.2572,21.1875,18.6801
2000-01-20,18.6801,19.3382,26.607,19.3079,21.0549,18.6801
2000-01-21,18.6801,19.0345,26.5567,19.2168,20.9263,18.4017
2000-01-24,18.4017,18.5789,26.5053,18.9889,20.7972,18.5283
2000-01-25,18.5283,18.4776,26.4516,18.7966,20.6747,19.1358
2000-01-26,19.1358,18.6295,26.4051,18.6852,20.5522,19.1864
2000-01-27,19.1864,19.0851,26.3572,18.7864,20.4307,18.427
2000-01-28,18.427,19.1864,26.3056,18.7358,20.295,19.642
2000-01-31,19.642,18.7308,26.2595,18.9839,20.1973,19.642
2000-02-01,19.642,19.4395,26.2075,19.2066,20.1042,19.3382
2000-02-02,19.3382,19.3889,26.1536,19.2471,20.0131,19.3889
2000-02-03,19.3889,19.2876,26.1002,19.2876,19.9351,19.0345
2000-02-04,19.0345,19.3636,26.0447,19.4091,19.8541,18.8826
2000-02-07,18.8826,19.0345,25.9883,19.2572,19.7741,19.1104
2000-02-08,19.1104,19.0345,25.9327,19.1509,19.7022,19.3889
