ticker,SBNY US Equity,SBNY US Equity,SBNY US Equity,SBNY US Equity,SBNY US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2004-03-19,15.5,15.5,,,,19.47
2004-03-23,19.47,18.5,,,,19.45
2004-03-24,19.45,19.33,,,,19.349
2004-03-25,19.349,19.35,,,,19.39
2004-03-26,19.39,19.45,18.6318,,,19.24
2004-03-29,19.24,19.2,19.3798,,,19.48
2004-03-30,19.48,19.3,19.3818,,,20.94
2004-03-31,20.94,19.6,19.6798,,,21.55
2004-04-01,21.55,20.85,20.12,,,21.3
2004-04-02,21.3,22.01,20.502,,,20.94
2004-04-05,20.94,21.4,20.842,,,20.75
2004-04-06,20.75,20.7,21.096,,,20.71
2004-04-07,20.71,20.72,21.05,,,20.651
2004-04-08,20.651,20.65,20.8702,,,20.55
2004-04-12,20.55,20.65,20.7202,,,20.75
2004-04-13,20.75,20.55,20.6822,,,20.65
2004-04-14,20.65,20.63,20.6622,,,19.91
2004-04-15,19.91,20.49,20.5022,,,20.73
2004-04-16,20.73,19.8,20.518,,,20.8
2004-04-19,20.8,20.3,20.568,,,20.74
2004-04-20,20.74,20.8,20.566,,,20.8
2004-04-21,20.8,20.49,20.596,,,21.79
2004-04-22,21.79,20.58,20.972,,,22.2
2004-04-23,22.2,21.0,21.266,,,23.144
2004-04-26,23.144,22.2,21.7348,,,22.8
2004-04-27,22.8,23.2,22.1468,,,22.75
2004-04-28,22.75,22.95,22.5368,,,22.71
2004-04-29,22.71,22.9,22.7208,,,23.53
2004-04-30,23.53,22.75,22.9868,,,24.02
2004-05-03,24.02,23.22,23.162,,,23.78
2004-05-04,23.78,24.05,23.358,,,23.79
2004-05-05,23.79,24.0,23.566,,,24.23
2004-05-06,24.23,23.5,23.87,,,24.55
2004-05-07,24.55,24.26,24.074,,,24.5
2004-05-10,24.5,25.1,24.17,,,23.7
2004-05-11,23.7,24.5,24.154,,,23.97
2004-05-12,23.97,23.7,24.19,,,23.25
2004-05-13,23.25,24.18,23.994,,,23.8
2004-05-14,23.8,23.81,23.844,,,23.94
2004-05-17,23.94,23.74,23.732,,,24.14
2004-05-18,24.14,24.0,23.82,,,25.11
2004-05-19,25.11,23.82,24.048,,,24.65
2004-05-20,24.65,24.88,24.328,,,24.5
2004-05-21,24.5,24.65,24.468,,,24.85
2004-05-24,24.85,24.37,24.65,,,25.01
2004-05-25,25.01,24.22,24.824,,,24.29
2004-05-26,24.29,24.98,24.66,,,24.21
2004-05-27,24.21,25.0,24.572,,,25.05
2004-05-28,25.05,24.58,24.682,,,26.0
2004-06-01,26.0,25.3,24.912,22.2783,,26.87
2004-06-02,26.87,26.99,25.284,22.5057,,26.75
2004-06-03,26.75,26.74,25.776,22.6513,,25.38
2004-06-04,25.38,26.75,26.01,22.7699,,25.36
2004-06-07,25.36,25.25,26.072,22.8901,,25.4
2004-06-08,25.4,26.0,25.952,23.0103,,25.22
2004-06-09,25.22,25.51,25.622,23.1299,,25.18
2004-06-10,25.18,25.45,25.308,23.2439,,24.2
2004-06-14,24.2,25.4,25.072,23.3091,,24.45
2004-06-15,24.45,24.3,24.89,23.3671,,25.25
2004-06-16,25.25,25.3,24.86,23.4461,,25.03
2004-06-17,25.03,25.24,24.822,23.5279,,25.04
2004-06-18,25.04,25.19,24.794,23.6137,,25.16
2004-06-21,25.16,25.03,24.986,23.7027,,25.25
2004-06-22,25.25,25.24,25.146,23.7947,,25.25
2004-06-23,25.25,25.25,25.146,23.8887,,24.85
2004-06-24,24.85,25.24,25.11,23.9707,,23.35
2004-06-25,23.35,24.45,24.772,24.0247,,23.04
2004-06-28,23.04,23.89,24.348,24.0873,,23.57
2004-06-29,23.57,22.9,24.012,24.1441,,23.75
2004-06-30,23.75,23.45,23.712,24.2031,,24.9
2004-07-01,24.9,23.99,23.722,24.2863,,24.99
2004-07-02,24.99,24.85,24.05,24.3701,,25.15
2004-07-06,25.15,25.05,24.472,24.4373,,24.92
2004-07-07,24.92,25.0,24.742,24.4917,,24.02
2004-07-08,24.02,24.84,24.796,24.5092,,24.06
2004-07-09,24.06,25.04,24.628,24.5344,,24.39
2004-07-12,24.39,24.35,24.508,24.5672,,23.99
2004-07-13,23.99,24.21,24.276,24.5928,,24.05
2004-07-14,24.05,23.94,24.102,24.6032,,23.98
2004-07-15,23.98,23.95,24.094,24.6024,,24.01
2004-07-16,24.01,23.95,24.084,24.607,,24.68
2004-07-19,24.68,24.0,24.142,24.6248,,24.43
2004-07-20,24.43,24.15,24.23,24.6288,,24.27
2004-07-21,24.27,24.305,24.274,24.6232,,24.06
2004-07-22,24.06,24.195,24.29,24.6144,,24.05
2004-07-23,24.05,24.1,24.298,24.6214,,24.03
2004-07-26,24.03,24.04,24.168,24.6226,,24.2
2004-07-27,24.2,24.06,24.122,24.6416,,25.0
2004-07-28,25.0,24.69,24.268,24.6656,,24.65
2004-07-29,24.65,24.51,24.386,24.6798,,24.98
2004-07-30,24.98,25.04,24.572,24.6966,,24.25
