ticker,TEAM US Equity,TEAM US Equity,TEAM US Equity,TEAM US Equity,TEAM US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2015-12-09,21.0,,,,,27.78
2015-12-10,27.78,27.67,,,,27.5
2015-12-11,27.5,27.85,,,,26.26
2015-12-14,26.26,27.5,,,,26.5
2015-12-15,26.5,26.39,25.808,,,26.54
2015-12-16,26.54,26.75,26.916,,,28.01
2015-12-17,28.01,26.94,26.962,,,28.22
2015-12-18,28.22,27.9,27.106,,,29.35
2015-12-21,29.35,28.84,27.724,,,30.1
2015-12-22,30.1,30.16,28.444,,,28.49
2015-12-23,28.49,30.57,28.834,,,28.21
2015-12-24,28.21,28.33,28.874,,,28.9
2015-12-28,28.9,28.28,29.01,,,31.1
2015-12-29,31.1,29.21,29.36,,,30.21
2015-12-30,30.21,31.46,29.382,,,30.08
2015-12-31,30.08,30.22,29.7,,,27.41
2016-01-04,27.41,28.94,29.54,,,26.77
2016-01-05,26.77,27.91,29.114,,,27.05
2016-01-06,27.05,26.46,28.304,,,26.97
2016-01-07,26.97,26.55,27.656,,,27.17
2016-01-08,27.17,27.06,27.074,,,27.12
2016-01-11,27.12,27.1,27.016,,,26.82
2016-01-12,26.82,27.2,27.026,,,26.73
2016-01-13,26.73,27.0,26.962,,,26.84
2016-01-14,26.84,26.68,26.936,,,25.19
2016-01-15,25.19,26.04,26.54,,,24.02
2016-01-19,24.02,25.3,25.92,,,22.63
2016-01-20,22.63,23.21,25.082,,,24.24
2016-01-21,24.24,22.72,24.584,,,24.61
2016-01-22,24.61,25.11,24.138,,,23.67
2016-01-25,23.67,24.5,23.834,,,24.01
2016-01-26,24.01,23.68,23.832,,,22.28
2016-01-27,22.28,24.02,23.762,,,20.39
2016-01-28,20.39,22.72,22.992,,,20.77
2016-01-29,20.77,20.99,22.224,,,21.17
2016-02-01,21.17,20.69,21.724,,,21.34
2016-02-02,21.34,21.04,21.19,,,23.77
2016-02-03,23.77,21.93,21.488,,,24.0
2016-02-04,24.0,24.0,22.21,,,20.19
2016-02-05,20.19,24.0,22.094,,,17.92
2016-02-08,17.92,19.88,21.444,,,18.92
2016-02-09,18.92,17.85,20.96,,,20.06
2016-02-10,20.06,19.04,20.218,,,20.35
2016-02-11,20.35,19.41,19.488,,,20.1
2016-02-12,20.1,20.48,19.47,,,22.18
2016-02-16,22.18,20.4,20.322,,,23.35
2016-02-17,23.35,22.33,21.208,,,22.0
2016-02-18,22.0,23.24,21.596,,,22.13
2016-02-19,22.13,21.59,21.952,,,22.11
2016-02-22,22.11,22.1,22.354,24.8506,,22.51
2016-02-23,22.51,21.88,22.42,24.8808,,22.56
2016-02-24,22.56,22.34,22.262,24.7764,,23.535
2016-02-25,23.535,23.01,22.569,24.6971,,23.3
2016-02-26,23.3,23.47,22.803,24.6379,,23.77
2016-02-29,23.77,23.13,23.135,24.5833,,23.6
2016-03-01,23.6,23.86,23.353,24.5245,,24.16
2016-03-02,24.16,23.45,23.673,24.4475,,23.0
2016-03-03,23.0,24.04,23.566,24.3431,,23.02
2016-03-04,23.02,23.24,23.51,24.2165,,23.03
2016-03-07,23.03,22.98,23.362,24.0751,,22.36
2016-03-08,22.36,22.85,23.114,23.9525,,21.77
2016-03-09,21.77,22.55,22.636,23.8237,,22.22
2016-03-10,22.22,21.8,22.48,23.6901,,22.97
2016-03-11,22.97,22.36,22.47,23.5275,,22.73
2016-03-14,22.73,22.97,22.41,23.3779,,23.5
2016-03-15,23.5,22.51,22.638,23.2463,,24.19
2016-03-16,24.19,23.63,23.122,23.1819,,24.42
2016-03-17,24.42,23.98,23.562,23.1349,,23.24
2016-03-18,23.24,24.33,23.616,23.0587,,23.92
2016-03-21,23.92,23.4,23.854,22.9977,,24.69
2016-03-22,24.69,23.77,24.092,22.9481,,24.63
2016-03-23,24.63,24.75,24.18,22.8983,,23.82
2016-03-24,23.82,24.57,24.06,22.8383,,24.01
2016-03-28,24.01,24.0,24.214,22.7839,,24.11
2016-03-29,24.11,23.83,24.252,22.7293,,23.74
2016-03-30,23.74,24.05,24.062,22.7003,,25.15
2016-03-31,25.15,23.68,24.166,22.7229,,23.69
2016-04-01,23.69,24.85,24.14,22.7441,,24.1
2016-04-04,24.1,23.77,24.158,22.7413,,23.48
2016-04-05,23.48,23.86,24.032,22.7187,,23.55
2016-04-06,23.55,23.44,23.994,22.7163,,23.06
2016-04-07,23.06,23.19,23.576,22.6973,,23.24
2016-04-08,23.24,23.25,23.486,22.7165,,23.23
2016-04-11,23.23,23.39,23.312,22.7733,,23.11
2016-04-12,23.11,23.3,23.238,22.8201,,23.57
2016-04-13,23.57,23.27,23.242,22.8681,,22.94
2016-04-14,22.94,23.57,23.218,22.9001,,22.61
2016-04-15,22.61,22.9,23.092,22.8769,,23.3
2016-04-18,23.3,22.68,23.106,22.8629,,23.4
2016-04-19,23.4,23.41,23.164,22.9271,,23.61
2016-04-20,23.61,23.42,23.172,23.0409,,24.3
2016-04-21,24.3,23.65,23.444,23.1485,,23.82
