ticker,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,10.7656,11.0313,13.3195,10.825,12.0312,10.75
2000-01-04,10.75,10.7656,13.3086,10.8156,11.9868,10.75
2000-01-05,10.75,10.75,13.2994,10.7906,11.9431,11.4063
2000-01-06,11.4063,10.75,13.2934,10.9188,11.9143,11.3281
2000-01-07,11.3281,11.4063,13.2869,11.0,11.8806,11.5938
2000-01-10,11.5938,11.5938,13.2819,11.1656,11.8381,11.6875
2000-01-11,11.6875,11.5625,13.2747,11.3531,11.7931,11.4531
2000-01-12,11.4531,11.625,13.2634,11.4938,11.7515,11.6563
2000-01-13,11.6563,11.4531,13.2549,11.5438,11.7146,11.5156
2000-01-14,11.5156,11.6875,13.2467,11.5813,11.6812,11.0938
2000-01-18,11.0938,11.3906,13.2364,11.4813,11.6396,10.9063
2000-01-19,10.9063,10.7813,13.2267,11.325,11.5974,10.5
2000-01-20,10.5,11.0625,13.2145,11.1344,11.5409,10.9375
2000-01-21,10.9375,10.6406,13.2048,10.9906,11.494,10.6094
2000-01-24,10.6094,10.9531,13.1933,10.8094,11.4453,10.2344
2000-01-25,10.2344,10.6094,13.1793,10.6375,11.3915,10.4531
2000-01-26,10.4531,10.25,13.1676,10.5469,11.3381,10.0625
2000-01-27,10.0625,10.5,13.1494,10.4594,11.2762,10.1563
2000-01-28,10.1563,10.0781,13.1313,10.3031,11.214,10.0625
2000-01-31,10.0625,10.1563,13.1112,10.1938,11.1571,10.0781
2000-02-01,10.0781,10.0,13.0903,10.1625,11.1015,9.6875
2000-02-02,9.6875,10.0313,13.0697,10.0094,11.0449,9.8281
2000-02-03,9.8281,9.8125,13.0522,9.9625,10.9978,10.0781
2000-02-04,10.0781,9.9375,13.0322,9.9469,10.953,9.9219
2000-02-07,9.9219,10.0625,13.0105,9.9188,10.9074,9.6875
2000-02-08,9.6875,9.9844,12.9883,9.8406,10.8577,9.7344
