ticker,VRSK US Equity,VRSK US Equity,VRSK US Equity,VRSK US Equity,VRSK US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2009-10-06,22.0,22.0,,,,27.22
2009-10-07,27.22,27.0,,,,26.6
2009-10-08,26.6,27.33,,,,26.4
2009-10-09,26.4,26.83,,,,26.25
2009-10-12,26.25,27.29,25.694,,,27.19
2009-10-13,27.19,26.67,26.732,,,27.99
2009-10-14,27.99,27.25,26.886,,,28.31
2009-10-15,28.31,28.28,27.228,,,28.568
2009-10-16,28.568,28.45,27.6616,,,27.5
2009-10-19,27.5,28.52,27.9116,,,28.06
2009-10-20,28.06,27.5,28.0856,,,28.0
2009-10-21,28.0,28.0,28.0876,,,27.89
2009-10-22,27.89,27.76,28.0036,,,28.37
2009-10-23,28.37,28.0,27.964,,,28.45
2009-10-26,28.45,27.83,28.154,,,28.56
2009-10-27,28.56,28.54,28.254,,,27.69
2009-10-28,27.69,28.21,28.192,,,27.89
2009-10-29,27.89,27.88,28.192,,,27.43
2009-10-30,27.43,28.0,28.004,,,27.37
2009-11-02,27.37,27.38,27.788,,,27.36
2009-11-03,27.36,27.43,27.548,,,26.96
2009-11-04,26.96,27.33,27.402,,,27.3
2009-11-05,27.3,27.02,27.284,,,27.1
2009-11-06,27.1,27.15,27.218,,,27.58
2009-11-09,27.58,27.25,27.26,,,27.67
2009-11-10,27.67,27.25,27.322,,,28.98
2009-11-11,28.98,27.93,27.726,,,28.9
2009-11-12,28.9,28.78,28.046,,,28.9
2009-11-13,28.9,28.78,28.406,,,28.85
2009-11-16,28.85,28.75,28.66,,,27.85
2009-11-17,27.85,28.55,28.696,,,28.5
2009-11-18,28.5,28.39,28.6,,,28.54
2009-11-19,28.54,28.81,28.528,,,28.55
2009-11-20,28.55,28.5,28.458,,,28.4
2009-11-23,28.4,28.68,28.368,,,27.78
2009-11-24,27.78,28.18,28.354,,,27.3
2009-11-25,27.3,27.72,28.114,,,26.99
2009-11-27,26.99,26.96,27.804,,,26.91
2009-11-30,26.91,27.34,27.476,,,27.78
2009-12-01,27.78,26.91,27.352,,,27.51
2009-12-02,27.51,27.76,27.298,,,27.72
2009-12-03,27.72,27.81,27.382,,,28.43
2009-12-04,28.43,27.85,27.67,,,28.74
2009-12-07,28.74,28.2,28.036,,,28.61
2009-12-08,28.61,28.41,28.202,,,28.65
2009-12-09,28.65,28.33,28.43,,,28.4
2009-12-10,28.4,28.57,28.566,,,28.66
2009-12-11,28.66,28.02,28.612,,,28.99
2009-12-14,28.99,28.56,28.662,,,29.3
2009-12-15,29.3,28.93,28.8,27.819,,30.39
2009-12-16,30.39,29.27,29.148,27.9868,,30.4
2009-12-17,30.4,30.25,29.548,28.0504,,30.56
2009-12-18,30.56,30.38,29.928,28.1296,,30.5
2009-12-21,30.5,30.78,30.23,28.2116,,30.58
2009-12-22,30.58,30.34,30.486,28.2982,,30.68
2009-12-23,30.68,30.68,30.544,28.368,,30.8
2009-12-24,30.8,30.79,30.624,28.4242,,30.96
2009-12-28,30.96,30.89,30.704,28.4772,,31.0
2009-12-29,31.0,30.92,30.804,28.5258,,31.0
2009-12-30,31.0,30.91,30.888,28.5958,,30.28
2009-12-31,30.28,30.86,30.808,28.6402,,29.85
2010-01-04,29.85,30.41,30.618,28.6772,,30.05
2010-01-05,30.05,29.85,30.436,28.7204,,30.44
2010-01-06,30.44,30.0,30.324,28.7618,,30.39
2010-01-07,30.39,30.36,30.202,28.8006,,30.0
2010-01-08,30.0,30.21,30.146,28.8294,,29.93
2010-01-11,29.93,30.03,30.162,28.8742,,30.16
2010-01-12,30.16,29.99,30.184,28.9196,,30.15
2010-01-13,30.15,30.1,30.126,28.974,,29.91
2010-01-14,29.91,30.09,30.03,29.0248,,28.95
2010-01-15,28.95,29.77,29.82,29.0566,,27.95
2010-01-19,27.95,28.84,29.424,29.0764,,27.99
2010-01-20,27.99,27.81,28.99,29.0902,,28.04
2010-01-21,28.04,27.99,28.568,29.109,,28.01
2010-01-22,28.01,28.2,28.188,29.1176,,27.95
2010-01-25,27.95,27.98,27.988,29.1232,,28.35
2010-01-26,28.35,27.83,28.068,29.1106,,28.9
2010-01-27,28.9,28.23,28.25,29.1106,,28.77
2010-01-28,28.77,28.75,28.396,29.108,,28.12
2010-01-29,28.12,28.83,28.418,29.0934,,28.41
2010-02-01,28.41,28.21,28.51,29.1046,,27.96
2010-02-02,27.96,28.39,28.432,29.0938,,27.99
2010-02-03,27.99,27.96,28.25,29.0828,,27.75
2010-02-04,27.75,27.93,28.046,29.0668,,27.7
2010-02-05,27.7,27.75,27.962,29.0528,,27.63
2010-02-08,27.63,27.73,27.806,29.0498,,27.84
2010-02-09,27.84,27.58,27.782,29.0606,,27.84
2010-02-10,27.84,27.96,27.752,29.0776,,28.02
2010-02-11,28.02,27.7,27.806,29.0998,,28.31
2010-02-12,28.31,27.71,27.928,29.1104,,28.25
2010-02-16,28.25,28.1,28.052,29.1252,,27.94
2010-02-17,27.94,28.07,28.072,29.1296,,28.0
