ticker,WEC US Equity,WEC US Equity,WEC US Equity,WEC US Equity,WEC US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,9.5313,9.75,12.16,9.7063,10.2995,9.5938
2000-01-04,9.5938,9.5,12.1421,9.65,10.2695,10.0313
2000-01-05,10.0313,9.625,12.1267,9.6938,10.2376,10.0
2000-01-06,10.0,10.1563,12.1092,9.7563,10.2126,10.125
2000-01-07,10.125,10.0313,12.0936,9.8563,10.187,10.125
2000-01-10,10.125,10.25,12.0781,9.975,10.1626,10.0
2000-01-11,10.0,10.1875,12.0617,10.0563,10.1388,10.1875
2000-01-12,10.1875,10.0625,12.0474,10.0875,10.117,10.0938
2000-01-13,10.0938,10.25,12.0327,10.1063,10.0907,9.9375
2000-01-14,9.9375,10.1563,12.0172,10.0688,10.0626,9.75
2000-01-18,9.75,9.9375,12.0005,9.9938,10.032,10.0
2000-01-19,10.0,9.8125,11.9855,9.9938,10.0051,9.9375
2000-01-20,9.9375,9.9375,11.9719,9.9438,9.982,10.1563
2000-01-21,10.1563,9.9688,11.9574,9.9563,9.9682,10.1563
2000-01-24,10.1563,10.1875,11.9438,10.0,9.9576,10.0938
2000-01-25,10.0938,10.1563,11.9299,10.0688,9.9482,10.0625
2000-01-26,10.0625,10.0625,11.916,10.0813,9.937,10.0
2000-01-27,10.0,10.0938,11.9027,10.0938,9.927,9.9063
2000-01-28,9.9063,10.125,11.8891,10.0438,9.917,9.875
2000-01-31,9.875,9.9375,11.8747,9.9875,9.9088,9.9375
2000-02-01,9.9375,9.9375,11.8605,9.9563,9.9032,10.0938
2000-02-02,10.0938,10.0625,11.8458,9.9625,9.9007,10.4688
2000-02-03,10.4688,10.125,11.8327,10.0563,9.9088,10.1875
2000-02-04,10.1875,10.375,11.8185,10.1125,9.9145,9.875
2000-02-07,9.875,10.1875,11.803,10.1125,9.9126,10.0313
2000-02-08,10.0313,10.0625,11.7883,10.1313,9.9132,10.0313
