ticker,WST US Equity,WST US Equity,WST US Equity,WST US Equity,WST US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-01-03,7.5625,7.7188,8.9337,7.7125,8.3688,7.6406
2000-01-04,7.6406,7.6875,8.9288,7.6813,8.3516,7.6094
2000-01-05,7.6094,7.6563,8.9245,7.6531,8.3338,7.5313
2000-01-06,7.5313,7.625,8.9203,7.6156,8.3141,7.6094
2000-01-07,7.6094,7.5313,8.9175,7.5906,8.2997,7.7656
2000-01-10,7.7656,7.625,8.9154,7.6313,8.29,7.5469
2000-01-11,7.5469,7.7344,8.9122,7.6125,8.2744,7.5938
2000-01-12,7.5938,7.5156,8.9093,7.6094,8.2534,7.7188
2000-01-13,7.7188,7.5938,8.9077,7.6469,8.2369,7.5781
2000-01-14,7.5781,7.6406,8.9058,7.6406,8.2169,7.6094
2000-01-18,7.6094,7.5938,8.9038,7.6094,8.1997,7.625
2000-01-19,7.625,7.5469,8.9012,7.625,8.1822,7.5938
2000-01-20,7.5938,7.5938,8.8981,7.625,8.1644,7.625
2000-01-21,7.625,7.5938,8.8955,7.6063,8.1491,7.5938
2000-01-24,7.5938,7.6094,8.8923,7.6094,8.1325,7.9219
2000-01-25,7.9219,7.5781,8.8909,7.6719,8.1234,7.9063
2000-01-26,7.9063,7.9219,8.8892,7.7281,8.1128,7.7188
2000-01-27,7.7188,7.8906,8.8866,7.7531,8.0981,7.7656
2000-01-28,7.7656,7.7031,8.8844,7.7813,8.0853,7.7344
2000-01-31,7.7344,7.7656,8.8819,7.8094,8.0709,7.7969
2000-02-01,7.7969,7.75,8.8795,7.7844,8.0575,7.6406
2000-02-02,7.6406,7.7969,8.8768,7.7313,8.0369,7.5
2000-02-03,7.5,7.6563,8.8743,7.6875,8.0131,7.4531
2000-02-04,7.4531,7.4688,8.8715,7.625,7.9872,7.6875
2000-02-07,7.6875,7.4531,8.8695,7.6156,7.9666,7.8594
2000-02-08,7.8594,7.7188,8.8681,7.6281,7.9472,7.8438
